m,sptime,gwtime,getime,owtime,oetime
21,0.0578756961600000036,0.0169282356800000006,0.0346332333600000014,1.68869673095000006,1.45348833839000013
22,0.0626500978400000019,0.014858953309999999,0.0366097575200000011,1.65831600298999993,1.5606763750499999
23,0.0673593821399999931,0.0209197618600000003,0.0387591032600000038,1.96008988859,1.64505157442000005
24,0.0783169339700000022,0.0138641475900000005,0.0397978634399999975,1.78549086824999992,1.81567567963999998
25,0.0830207459099999989,0.0180585731300000017,0.0485017498800000002,2.13219560943000008,1.91233401029999994
26,0.0942228978900000042,0.0231408145400000022,0.0410295039499999972,2.10328113573000008,1.85117275674000004
27,0.105086373659999996,0.0198706303800000005,0.0571154148699999989,2.43322973294000011,2.37278611373000015
28,0.109967563490000003,0.0183760318599999993,0.0478549132199999963,2.41926210335999992,2.11255407406000018
29,0.123678728690000003,0.0191795532800000008,0.0477088774200000038,2.29644622567000001,2.29214747211999992
30,0.136262721559999994,0.0214137987200000018,0.050968832460000002,2.20495333871999977,2.21737148007000018
31,0.141655945519999993,0.0253466078500000011,0.0589091881800000022,2.28749806340999973,2.35090899460000013
32,0.12688745911999999,0.0189618645300000006,0.05481364809,2.26736925778999998,2.73053342741000016
33,0.134412711490000003,0.0170471470899999991,0.0676609334300000004,2.48922650739000018,2.97102106211000017
34,0.150481456860000001,0.0162818176099999989,0.0615204639499999997,2.49113130844999997,2.41218560175000007
35,0.153402490800000013,0.0239602359500000021,0.0610358896199999987,2.44276453516999981,2.75653143080999996
36,0.165977816430000008,0.0293404264399999976,0.0616324345200000012,2.99605978838999976,2.81579922956000006
37,0.175083244370000002,0.0205756789499999988,0.0659696355600000034,2.71351573058000017,2.9450216236400002
38,0.190269312890000014,0.0201149233299999994,0.0804065011699999915,2.87166732181999995,3.15363741037
39,0.202674345849999993,0.02302551257,0.0691247215800000064,2.9319313057399996,2.97026721587999987
40,0.206049741010000009,0.0259411377700000008,0.0681949615099999989,2.84745720870999985,3.07005775581000018
41,0.2253363954,0.0176296786800000001,0.0709610060299999956,2.63753405563999976,3.24362657838000024
42,0.226445613939999985,0.0243293086800000016,0.083256425840000009,3.02859852117000017,4.1974269280300005
43,0.242448133950000005,0.0245845494899999996,0.0823769354399999931,3.22079565606999996,3.69369079786999999
44,0.250042927749999977,0.0258995322200000003,0.083596942090000001,3.34569801727000016,3.82142367977000008
45,0.262478855309999981,0.0289008326399999987,0.0719797551799999935,3.49569345477000004,4.05281223028999982
