m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
21,0.54644614523648849,0.194154885701203123,0.190669008721287531,0.308405657199004479,0.458841262439610265
22,0.55785043976491766,0.183334671261986798,0.207436669973173698,0.254563780172111953,0.412718900897525331
23,0.574787953939916219,0.214882325223788501,0.218449509101080241,0.33285805480326508,0.447767404927418566
24,0.556376993723243007,0.193088235233590061,0.202499510835361468,0.343631375548523188,0.476680101790850519
25,0.543343247390707718,0.214958669579102452,0.233281716426253977,0.262407582509623816,0.427560995940703126
26,0.511650706293508173,0.208343092401625324,0.189986969370965098,0.284398045251420983,0.456572248394454983
27,0.500684705761283544,0.181674375485261275,0.206353039973206365,0.288151944338767008,0.421685874796046134
28,0.50840360681059793,0.199555651581899307,0.217094167057631182,0.265718261112788179,0.436065556145752153
29,0.502795496188115587,0.18937288709558589,0.193679606427250628,0.267933384274492925,0.448743820884189681
30,0.526972879712209408,0.203392414467170352,0.223687075140454994,0.237432695184283921,0.415573923839362536
31,0.507442049697296671,0.186171701462171935,0.18888085564241161,0.246486109948970522,0.401351195739013122
32,0.514099342156920547,0.184157616090468518,0.202667351308679883,0.23381494228589228,0.414934219740234755
33,0.459789460181713849,0.20287062026618885,0.172425485044208487,0.216601460645530514,0.396681552170956075
34,0.464145877650602445,0.183341074436968371,0.194869475538297726,0.196806408145712125,0.359891758890968139
35,0.495454668846608992,0.205755444115009317,0.19884078847584416,0.219428435685313644,0.411178887289576578
36,0.526073831878519971,0.189526619410185476,0.202410739715507021,0.236188461281225087,0.393551535390591456
37,0.478836675127109535,0.181749733601619029,0.181086124303327767,0.213049524066576595,0.380827906198015376
38,0.45643166323062484,0.197029354446459137,0.195365442093981573,0.192525966794115738,0.40359492683766035
39,0.463097810669979015,0.19343247910096506,0.188475417357488073,0.214498936595229589,0.414316496601521533
40,0.479303953838299324,0.21146581988948368,0.214240213014765146,0.186127920737546304,0.390573003674511365
41,0.438278587439105471,0.167291850835924655,0.168760566007014251,0.195611610805938446,0.371782525501686723
42,0.459229982385389424,0.200479267362354246,0.204196641183550409,0.188006464474051782,0.375877850095053812
43,0.484676419663082059,0.199490603993401489,0.219401710685597523,0.203348505131596552,0.376831109425848132
44,0.44825187932595556,0.207190609856418212,0.192671837599956736,0.156398688732533819,0.376672255078709883
45,0.45932171695474816,0.205568966991332036,0.175363119911389281,0.180908562138513945,0.379912338455217768
