m,spmc,gwmc,gemc,owmc,oemc
21,0.54644614523648849,0.0405724510036734251,0.154356159861768344,0.162455047295674587,0.316114342546316818
22,0.557850439764917549,0.0436880860253376496,0.182037740956490945,0.149543318062360986,0.300350165113608902
23,0.574787953939916219,0.0616881939571732874,0.176781889087049615,0.195986327529762389,0.325999547762497788
24,0.556376993723243007,0.0466075415267185253,0.157539643073354246,0.207638910265227072,0.350822613343617584
25,0.543343247390707718,0.0455553370530386026,0.211622724896835868,0.170987945976074807,0.342925814707224941
26,0.511650706293508395,0.0486715153882140011,0.141319639105564221,0.147539437641019344,0.307350095428127856
27,0.500684705761283655,0.0487762501471550036,0.191604759809084119,0.181232498120982799,0.324500427836778182
28,0.50840360681059793,0.0560109572822986568,0.201701151649038513,0.1572299266062826,0.35017949266354087
29,0.502795496188115587,0.0419529671492916076,0.170806498804444679,0.157136445242586298,0.345741309538124098
30,0.526972879712209408,0.0513885015189183697,0.205167435445097773,0.126309928417137951,0.314919872267249601
31,0.507442049697296782,0.0510000099028030188,0.18050297490423356,0.154731389642535633,0.32023763926533555
32,0.514099342156920658,0.0441325932456119452,0.170865452270389934,0.123208899121305213,0.310211659640638793
33,0.459789460181713849,0.0450009080438869349,0.151721954585678775,0.125863627042674647,0.300639512018924637
34,0.464145877650602334,0.0401005445781132813,0.177705709399866296,0.120302353176762244,0.290166761559024433
35,0.495454668846608992,0.0500292320002993715,0.171343403445048809,0.128662159495015499,0.325194621656399063
36,0.526073831878519971,0.0429000562540908306,0.183418259539002648,0.138060698014971173,0.309041254865192627
37,0.478836675127109479,0.0416143697916998012,0.175344159607869476,0.138613809541515726,0.317529114781121169
38,0.456431663230624785,0.0423523707871992783,0.186090005197981412,0.123469138290362518,0.312922912567581368
39,0.463097810669979071,0.0469058095410761905,0.167797152592566612,0.134621164294695922,0.322200844727539293
40,0.479303953838299324,0.0521571798726486041,0.193171724480977164,0.109734955108181889,0.319620100335225921
41,0.438278587439105527,0.0365014981282988163,0.163525022891810146,0.114826375582667131,0.29803218344420529
42,0.459229982385389424,0.0545712564386430718,0.197907079567052557,0.125689325683674746,0.309649428421972739
43,0.48467641966308217,0.0620699922994823738,0.216078900426424692,0.13025984259480336,0.319455741479404476
44,0.448251879325955505,0.0488210648754778265,0.173504486609566244,0.112130872469742821,0.300950463450439076
45,0.45932171695474816,0.0517279862742977756,0.151732738490084146,0.124908990164849756,0.31527427885797138
