m,spefloss,gwefloss,geefloss,owefloss,oeefloss
21,0.071676314444109393,0.481674245507340892,0.357253245713751388,0.220763208527032129,0.230156109370873357
22,0.0603301273413994824,0.564688660987107682,0.338403548837735046,0.246887256499752433,0.248657279565071304
23,0.0523539708627461242,0.445196399061252079,0.360784784196429009,0.257470717415539174,0.266226363879122851
24,0.042938558565534482,0.523061222262410919,0.397150737338133053,0.226082850216984238,0.268386391154872228
25,0.0673121350807503738,0.510700669136338159,0.311789868480904953,0.257094118869317378,0.247495922962785997
26,0.0575962571122216743,0.507496370425374432,0.398501467726917857,0.265182368703016702,0.291437462043267093
27,0.080788115527584442,0.466691137351118779,0.312719020286374882,0.251329256361545128,0.266165613477811702
28,0.064022154734434969,0.473429995807285287,0.329338949678370629,0.222451104137980415,0.233781233290808549
29,0.0621867793615741779,0.512032909182533968,0.371137180959951185,0.261674970132023899,0.249165229020089168
30,0.0810559694068282849,0.547466830821374151,0.34269907726344756,0.273213194512700708,0.292687888195863666
31,0.0765957052388172438,0.500282939583026387,0.33569842323252419,0.259910237567012203,0.264581410954480789
32,0.0642110988029531565,0.461543649119646571,0.394711989991485324,0.302606136881497956,0.267635674188469841
33,0.0868252489420626994,0.501578893780575186,0.372555783403656027,0.255614089109533982,0.240335253076517041
34,0.088049412116302031,0.458802545505503645,0.318563034535337963,0.262313442758515036,0.279585259184521984
35,0.098099778634195639,0.473501237579284973,0.356053229615567846,0.291166559844613815,0.260837613338139651
36,0.0701018619097273921,0.520990670918500043,0.329333228795461619,0.303334129547768838,0.240131371322479997
37,0.0769190714444216439,0.504765089267398381,0.331303562369789972,0.24903115903453088,0.212843624338805132
38,0.0947774135791904226,0.48716428371871906,0.311958376198457343,0.279974025924429326,0.29052367554820191
39,0.084266420150147528,0.458371821656422873,0.327115498769213475,0.269572206276391557,0.244221542143163606
40,0.0762022112219141318,0.482508723126106376,0.300607893963652784,0.293938620585777965,0.230292878711066351
41,0.0684719606589575119,0.532715193542096288,0.341622318708296624,0.259535906913898939,0.241227645095749121
42,0.0534482403011342019,0.490690792475487081,0.267683667243589662,0.278168608570396603,0.229298385326926646
43,0.0680969219190766112,0.43443678441746042,0.259061826299459119,0.249986459900701341,0.234725506018725466
44,0.0826236184132220219,0.534817173770937071,0.320685167047267905,0.288156891843909413,0.211668945744311748
45,0.0695617640012840682,0.471437012180172421,0.330370650553892975,0.264550269064640353,0.223001531564735261
