n,m,k,apwelfare,aprevenue,apef,apefloss,apmc,apmcloss,aptime,uswelfare,usrevenue,usef,usefloss,usmc,usmcloss,ustime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,7,1,1,1,0,0,0,0,5.7841799999999999e-05,0.666623165151149943,0.666623165151149943,0,0,0.5,0.5,9.10087333333333282e-05,1,1,0,0,0,0,1.51562333333333341e-05,0.630682055093924387,0.630682055093924387,0.347619047619047605,0.511633774983382028,0,0,1.13239666666666669e-05,1,1,0,0,0,0,0.00497257673333333355,0.630682055093924387,0.630682055093924387,0.347619047619047605,0.511633774983382028,0,0,0.00363030053333333316
2,7,2,1,1,0,0,0,0,6.17906000000000043e-05,1,1,0,0,0,0,9.82295666666666722e-05,1,1,0,0,0,0,1.56029333333333327e-05,0.445039071931394026,0.445039071931394026,0.399999999999999967,0.49676606965991843,0,0,1.07246666666666674e-05,1,1,0,0,0,0,0.00470962613333333283,0.445039071931394026,0.445039071931394026,0.399999999999999967,0.49676606965991843,0,0,0.0039302739666666666
2,8,1,1,1,0,0,0,0,5.54341333333333318e-05,0.672608694495410719,0.672608694495410719,0,0,0.5,0.5,0.000109346900000000002,1,1,0,0,0,0,2.20549000000000012e-05,0.597803910935381322,0.597803910935381322,0.383333333333333359,0.482915372380747832,0,0,1.12085333333333329e-05,1,1,0,0,0,0,0.0240831701333333315,0.597803910935381322,0.597803910935381322,0.383333333333333359,0.482915372380747832,0,0,0.0216811559333333348
2,8,2,1,1,0,0,0,0,5.90025999999999965e-05,1,1,0,0,0,0,0.000112738299999999998,1,1,0,0,0,0,1.48586000000000003e-05,0.331160452556714502,0.331160452556714502,0.483333333333333337,0.595346236149065566,0,0,1.17001333333333334e-05,1,1,0,0,0,0,0.0102250947999999991,0.331160452556714502,0.331160452556714502,0.483333333333333337,0.595346236149065566,0,0,0.00913459463333333305
2,9,1,1,1,0,0,0,0,2.9973066666666666e-05,0.718727758815151718,0.718727758815151718,0,0,0.5,0.5,0.000130973666666666663,1,1,0,0,0,0,1.49059333333333341e-05,0.408014194157319765,0.408014194157319765,0.355555555555555569,0.622903707145552543,0,0,1.17222333333333327e-05,1,1,0,0,0,0,0.0146713597000000008,0.408014194157319765,0.408014194157319765,0.355555555555555569,0.622903707145552543,0,0,0.0127744367666666678
2,9,2,1,1,0,0,0,0,2.80000999999999998e-05,1,1,0,0,0,0,0.000134472666666666678,1,1,0,0,0,0,1.5650533333333332e-05,0.386558473229441479,0.386558473229441479,0.407407407407407385,0.549023490803434377,0,0,1.21324666666666661e-05,1,1,0,0,0,0,0.00453330066666666684,0.386558473229441479,0.386558473229441479,0.407407407407407385,0.549023490803434377,0,0,0.00367893656666666655
2,10,1,1,1,0,0,0,0,2.94746000000000007e-05,0.737005235467123598,0.737005235467123598,0,0,0.5,0.5,0.000151882166666666681,1,1,0,0,0,0,1.5710300000000001e-05,0.380130338589397265,0.380130338589397265,0.396666666666666667,0.627477748362726073,0,0,1.23916000000000001e-05,1,1,0,0,0,0,0.00456974859999999955,0.380130338589397265,0.380130338589397265,0.396666666666666667,0.627477748362726073,0,0,0.00477873213333333303
2,10,2,1,1,0,0,0,0,2.89689666666666666e-05,1,1,0,0,0,0,0.000164445600000000003,1,1,0,0,0,0,1.64703000000000005e-05,0.291440684986926879,0.291440684986926879,0.510000000000000009,0.617775550902507131,0,0,1.30234333333333331e-05,1,1,0,0,0,0,0.00645646249999999935,0.291440684986926879,0.291440684986926879,0.510000000000000009,0.617775550902507131,0,0,0.00412894529999999985
3,2,1,1,1,0,0,0,0,3.02506333333333314e-05,0.808753859423154808,0.808753859423154808,0,0,0.66666666666666663,0.66666666666666663,3.43887333333333316e-05,1,1,0,0,0,0,9.92110000000000061e-06,0.935590284769621805,0.935590284769621805,0.0500000000000000097,0.0644097152303782228,0,0,7.56886666666666709e-06,1,1,0,0,0,0,0.00363906913333333351,0.935590284769621805,0.935590284769621805,0.0500000000000000097,0.0644097152303782228,0,0,0.00307567613333333337
3,2,2,1,1,0,0,0,0,7.10519333333333299e-05,1,1,0,0,0.333333333333333315,0.333333333333333315,4.59657666666666662e-05,1,1,0,0,0.122222222222222218,0.100156229158519947,1.54666666666666654e-05,0.801286751547912401,0.801286751547912401,0.0499999999999999889,0.0545331938402571145,0.177777777777777757,0.224886639396531085,1.45916666666666662e-05,1,1,0,0,0.122222222222222218,0.100156229158519947,0.00602532366666666715,0.801286751547912401,0.801286751547912401,0.0499999999999999889,0.0545331938402571145,0.177777777777777757,0.224886639396531085,0.00470640153333333304
3,2,3,1,1,0,0,0,0,2.46657333333333334e-05,1,1,0,0,0,0,4.5549866666666669e-05,1,1,0,0,0,0,1.60618666666666661e-05,0.757846225889749925,0.757846225889749925,0.25,0.242153774110250075,0,0,1.66411999999999992e-05,1,1,0,0,0,0,0.00291151013333333349,0.757846225889749925,0.757846225889749925,0.25,0.242153774110250075,0,0,0.00278890749999999993
3,3,1,1,1,0,0,0,0,2.61100999999999993e-05,0.738720310832071347,0.738720310832071347,0,0,0.66666666666666663,0.66666666666666663,6.39679999999999947e-05,1,1,0,0,0,0,1.61397666666666675e-05,0.863437694918347765,0.863437694918347765,0.166666666666666657,0.20596095520564961,0,0,1.45470666666666666e-05,1,1,0,0,0,0,0.00374459696666666663,0.863437694918347765,0.863437694918347765,0.166666666666666657,0.20596095520564961,0,0,0.00352058253333333319
3,3,2,1,1,0.0444444444444444323,0.133333333333333359,0,0,2.58865333333333337e-05,1,1,0,0,0.333333333333333315,0.333333333333333315,6.47511666666666642e-05,1,1,0,0,0.15555555555555553,0.12516715646709109,1.82886999999999999e-05,0.558355008398274455,0.558355008398274455,0.144444444444444459,0.174752170868518852,0.21111111111111111,0.402992831397838425,1.53172666666666665e-05,1,1,0,0,0.15555555555555553,0.12516715646709109,0.00536201749999999991,0.602159778808153967,0.602159778808153967,0.188888888888888884,0.228665810590588631,0.188888888888888884,0.34151574898341025,0.00517219476666666653
3,3,3,1,1,0,0,0,0,2.56236666666666666e-05,1,1,0,0,0,0,6.78282000000000022e-05,1,1,0,0,0,0,2.05622666666666679e-05,0.64165750051583692,0.64165750051583692,0.311111111111111116,0.334230489363847971,0,0,1.71383666666666684e-05,1,1,0,0,0,0,0.00351053410000000008,0.64165750051583692,0.64165750051583692,0.311111111111111116,0.334230489363847971,0,0,0.00300124729999999996
3,4,1,1,1,0,0,0,0,2.85560999999999992e-05,0.701372335993932117,0.701372335993932117,0,0,0.66666666666666663,0.66666666666666663,6.1619433333333335e-05,1,1,0,0,0,0,2.36021333333333323e-05,0.863961228469050324,0.863961228469050324,0.158333333333333326,0.235635315365181564,0,0,1.99900333333333334e-05,1,1,0,0,0,0,0.00581912346666666608,0.863961228469050324,0.863961228469050324,0.158333333333333326,0.235635315365181564,0,0,0.00545691620000000009
