n,m,p,evwelfare,evrevenue,evef,evefloss,evmc,evmcloss,evtime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,0.333333333333333315,1,0.992947041428179467,0,0,0.333333333333333315,0.333333333333333315,-1.00000000000000006e-09,0.98460224132816121,0.980087098745996532,0,0,0.100000000000000006,0.100000000000000006,0.00387876159999999987,0.971819438902094768,0.964766480330274234,0.0333333333333333398,0.0281805610979051976,0.116666666666666655,0.108153260938386717,0.00324383073333333336,1,0.992947041428179467,0,0,0.0833333333333333287,0.0833333333333333287,0.017982099166666668,0.971819438902094768,0.964766480330274234,0.0333333333333333398,0.0281805610979051976,0.116666666666666655,0.108153260938386717,0.029274657266666667
2,2,0.66666666666666663,0.974464342406089701,0.951501183084775271,0,0,0.216666666666666674,0.216666666666666674,-1.00000000000000006e-09,0.946359771502935154,0.933854137041978394,0,0,0.166666666666666685,0.166666666666666685,0.00210354383333333315,0.974464342406089701,0.951501183084775271,0,0,0.166666666666666685,0.160783891720699457,0.00268069906666666691,0.974464342406089701,0.951501183084775271,0,0,0.133333333333333359,0.133333333333333359,0.0591455800999999975,0.974464342406089701,0.951501183084775271,0,0,0.166666666666666685,0.160783891720699457,0.0644460514333333317
2,2,1,0.905660891690277192,0.854422239056483512,0,0,0.316666666666666652,0.316666666666666652,-1.00000000000000006e-09,0.905660891690277192,0.854422239056483512,0,0,0.316666666666666652,0.316666666666666652,0.00255415610000000017,0.905660891690277192,0.854422239056483512,0,0,0.316666666666666652,0.316666666666666652,0.00271663003333333332,0.905660891690277192,0.854422239056483512,0,0,0.316666666666666652,0.316666666666666652,0.0835907111666666647,0.905660891690277192,0.854422239056483512,0,0,0.316666666666666652,0.316666666666666652,0.0833619899999999969
2,3,0.333333333333333315,1,0.993155321482195541,0,0,0.299999999999999989,0.299999999999999989,-1.00000000000000006e-09,0.970037581801516446,0.969934733553411421,0,0,0.100000000000000019,0.100000000000000019,0.00707736889999999955,0.971776410093221243,0.965563485933420229,0.0111111111111111098,0.0118728004191137586,0.149999999999999994,0.129219562689116219,0.00328533516666666692,1,0.993155321482195541,0,0,0.0666666666666666796,0.0666666666666666796,0.0312004559666666653,0.98812719958088624,0.981282521063081781,0.0111111111111111098,0.0118728004191137586,0.133333333333333359,0.112552896022449514,0.0369174871666666654
2,3,0.66666666666666663,0.970768688278633052,0.920006522158307249,0,0,0.116666666666666655,0.116666666666666655,-1.00000000000000006e-09,0.954391919863899041,0.904209550247438654,0,0,0.116666666666666655,0.116666666666666655,0.00239428703333333321,0.930000887440467605,0.823797934507102148,0.0333333333333333329,0.0438985078256771341,0.133333333333333359,0.098962976118595572,0.00491743703333333369,0.970768688278633052,0.920006522158307249,0,0,0.100000000000000019,0.100000000000000019,0.0534172769333333339,0.961220442977020695,0.840598564144095395,0.0333333333333333329,0.0438985078256771341,0.0833333333333333287,0.0605339576322626374,0.0691724598999999968
2,3,1,0.932497481892373137,0.865346182447112366,0,0,0.233333333333333337,0.233333333333333337,-1.00000000000000006e-09,0.932497481892373137,0.865346182447112366,0,0,0.233333333333333337,0.233333333333333337,0.00310397453333333346,0.884796021891136264,0.650745180249134858,0.0111111111111111115,0.0165582282354571099,0.18333333333333332,0.18333333333333332,0.00237640016666666645,0.932497481892373137,0.865346182447112366,0,0,0.233333333333333337,0.233333333333333337,0.0562483355999999976,0.884796021891136264,0.650745180249134858,0.0111111111111111115,0.0165582282354571099,0.18333333333333332,0.18333333333333332,0.0943151979666666668
2,4,0.333333333333333315,0.991606862679686007,0.983384327634533206,0,0,0.299999999999999989,0.299999999999999989,-1.00000000000000006e-09,0.977847841466831125,0.975440597329302106,0,0,0.0833333333333333287,0.0833333333333333287,0.00187530426666666656,0.914989669399244088,0.910066373366720693,0.024999999999999991,0.0151861862276988207,0.216666666666666646,0.169445609073242714,0.00389286893333333321,0.991606862679686007,0.983384327634533206,0,0,0.0666666666666666796,0.0666666666666666796,0.0302649683333333329,0.979771022685512194,0.971548487640359282,0.00833333333333333495,0.011835839994173836,0.133333333333333359,0.104272662228157079,0.0404835979000000012
2,4,0.66666666666666663,0.976347649352689584,0.951711671134011117,0,0,0.166666666666666685,0.166666666666666685,-1.00000000000000006e-09,0.95714036319353557,0.93135226164636864,0.0166666666666666699,0.00869005208422669526,0.116666666666666641,0.116666666666666641,0.00411360036666666602,0.880760848005523234,0.822656833204617688,0.108333333333333337,0.11048687494310197,0.133333333333333359,0.126385343082765139,0.00278562999999999988,0.976347649352689584,0.951711671134011117,0,0,0.100000000000000019,0.100000000000000019,0.0363295713666666673,0.844624976389207749,0.823150951753452764,0.108333333333333323,0.142722604941865838,0.133333333333333331,0.126442748160770418,0.0602089805333333311
2,4,1,0.95561871261638287,0.89270158256493326,0,0,0.133333333333333359,0.133333333333333359,-1.00000000000000006e-09,0.95561871261638287,0.892701582564933371,0,0,0.133333333333333359,0.133333333333333359,0.0027771744333333335,0.898810002405661335,0.738318197441993562,0.0583333333333333204,0.0608759311890687965,0.100000000000000006,0.100000000000000006,0.00237510326666666655,0.95561871261638287,0.892701582564933371,0,0,0.133333333333333359,0.133333333333333359,0.0526507809666666646,0.898810002405661335,0.738318197441993562,0.0583333333333333204,0.0608759311890687965,0.100000000000000006,0.100000000000000006,0.125596258900000007
2,5,0.333333333333333315,0.988176942376763123,0.977262268535781131,0,0,0.149999999999999994,0.149999999999999994,-1.00000000000000006e-09,0.95049584842993895,0.936887170232061472,0.00666666666666666709,0.0129813403392302785,0.0833333333333333287,0.0833333333333333287,0.00438350703333333352,0.900909742175736383,0.862746683130002912,0.0333333333333333398,0.0596228782250101744,0.133333333333333359,0.0984221912120438469,0.00284841663333333314,0.988176942376763123,0.977262268535781131,0,0,0.0499999999999999889,0.0499999999999999889,0.0360930989999999965,0.932476021686729051,0.892586600697244048,0.0333333333333333398,0.0608962674277953517,0.100000000000000019,0.065088857878710521,0.0444379528666666648
