n,m,k,p,spwelfare,sprevenue,spef,spefloss,spmc,spmcloss,sptime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,-2,0.333333333333333315,0.981905612243667458,0.965422364122569765,0,0,0.466666666666666674,0.466666666666666674,4.16795999999999999e-05,0.982202062408803478,0.976426194403204661,0,0,0.0666666666666666796,0.0456785831240281784,0.00159350259999999988,0.988989740061883338,0.977031249335270302,0,0,0.0499999999999999889,0.0290119164573615085,0.00173228560000000006,0.988989740061883338,0.977031249335270302,0,0,0.0666666666666666796,0.0456785831240281784,0.011773290233333334,0.988989740061883338,0.977031249335270302,0,0,0.0666666666666666796,0.0456785831240281784,0.0106263348333333341
2,2,-1,0.333333333333333315,0.972483081918074754,0.972483081918074754,0,0,0.616666666666666696,0.616666666666666696,9.3266033333333338e-05,0.992297174546652228,0.992297174546652228,0.0166666666666666699,0.00631197085695836199,0.0166666666666666664,0.00277677712296192951,0.00153090983333333333,0.983635678810314218,0.983635678810314218,0,0,0.0166666666666666664,0.00277677712296192951,0.00197008276666666652,0.995650213019169672,0.995650213019169672,0.0333333333333333398,0.0118492689210556792,0.0333333333333333329,0.0194434437896285998,0.0332402826999999984,0.981484472224541715,0.981484472224541715,0.0499999999999999889,0.047311943237372131,0.0666666666666666796,0.0366623829654893416,0.0274363401999999992
2,2,1,0.333333333333333315,0.984635244270853027,0.964731915736804058,0,0,0.633333333333333304,0.633333333333333304,0.000147599799999999996,0.984635244270853027,0.972339108966556731,0,0,0.0166666666666666699,0.00971649195139544751,0.00228243360000000015,0.984635244270853027,0.972339108966556731,0,0,0.0333333333333333398,0.0113218313583672084,0.00351646810000000006,0.990283508048604544,0.977987372744308248,0.0166666666666666664,0.00657736874189184407,0.0166666666666666699,0.00971649195139544751,0.0298026786000000002,0.990283508048604544,0.977987372744308248,0.0166666666666666664,0.00657736874189184407,0.0333333333333333398,0.0113218313583672084,0.0253169189666666676
2,2,2,0.333333333333333315,1,1,0,0,0.900000000000000022,0.900000000000000022,6.34888666666666679e-05,1,1,0,0,0,0,0.000872238400000000034,1,1,0,0,0,0,0.000926669533333333417,1,1,0,0,0,0,0.00582489116666666702,1,1,0,0,0,0,0.00586380746666666664
2,2,-2,0.66666666666666663,0.937914579785704361,0.867142095272101732,0,0,0.366666666666666696,0.366666666666666696,3.85923333333333332e-05,0.956105310954167509,0.927189892182113007,0,0,0.116666666666666655,0.095558090662455894,0.00185595713333333318,0.956105310954167509,0.927189892182113007,0,0,0.116666666666666655,0.095558090662455894,0.00197979786666666654,0.961830178390453483,0.920314389793532639,0,0,0.200000000000000011,0.185786574781913877,0.0158416902999999991,0.961830178390453483,0.920314389793532639,0,0,0.200000000000000011,0.185786574781913877,0.0248101960666666649
2,2,-1,0.66666666666666663,0.949578360651647913,0.923745368707868275,0,0,0.349999999999999978,0.349999999999999978,0.000101682399999999994,0.974666284400781513,0.960151934835935639,0,0,0.0500000000000000028,0.0424352324821662616,0.0017865936666666667,0.974666284400781513,0.960151934835935639,0,0,0.0500000000000000028,0.0424352324821662616,0.00280078953333333337,0.974666284400781513,0.96838657519746163,0,0,0.0666666666666666796,0.0591018991488329384,0.0397602792999999996,0.974666284400781513,0.96838657519746163,0,0,0.0666666666666666796,0.0591018991488329384,0.0443219226000000008
2,2,1,0.66666666666666663,0.932433151023258966,0.841214278946980309,0,0,0.349999999999999922,0.349999999999999922,0.000100470766666666667,0.958212623158777754,0.901604795545799642,0,0,0.0666666666666666796,0.033201658135526925,0.00224348946666666667,0.966951408513167521,0.903226603630025493,0,0,0.0666666666666666796,0.033201658135526925,0.00272206313333333335,0.966951408513167521,0.903226603630025493,0,0,0.0833333333333333426,0.0498683248021935949,0.0384606140666666693,0.966951408513167521,0.903226603630025493,0,0,0.100000000000000006,0.0545918477234172625,0.039617633766666667
2,2,2,0.66666666666666663,1,1,0,0,0.66666666666666663,0.66666666666666663,6.3508533333333337e-05,1,1,0,0,0,0,0.000937960233333333285,1,1,0,0,0,0,0.000985556766666666629,1,1,0,0,0.0166666666666666699,0.0166666666666666699,0.00770637449999999995,1,1,0,0,0.0166666666666666699,0.0166666666666666699,0.0080738635999999999
2,2,-2,1,0.921569306504992247,0.833396660434914782,0,0,0.400000000000000022,0.400000000000000022,4.51647999999999983e-05,0.921569306504992247,0.833396660434914782,0,0,0.199999999999999983,0.199999999999999983,0.00192083120000000008,0.921569306504992247,0.833396660434914782,0,0,0.199999999999999983,0.199999999999999983,0.00204352883333333351,0.921569306504992247,0.833396660434914782,0,0,0.41666666666666663,0.41666666666666663,0.051872857166666668,0.921569306504992247,0.833396660434914782,0,0,0.41666666666666663,0.41666666666666663,0.0745751589666666659
2,2,-1,1,0.884184952998360751,0.801279446611879997,0,0,0.149999999999999994,0.149999999999999994,9.96775666666666624e-05,0.884184952998360751,0.801279446611879997,0,0,0.133333333333333359,0.133333333333333359,0.00206700403333333338,0.884184952998360751,0.801279446611879997,0,0,0.133333333333333359,0.133333333333333359,0.00203676056666666659,0.884184952998360751,0.801279446611879997,0,0,0.149999999999999994,0.149999999999999994,0.0454415759666666683,0.884184952998360751,0.801279446611879997,0,0,0.149999999999999994,0.149999999999999994,0.0434641087666666689
2,2,1,1,0.949615354392393862,0.843091395681422773,0,0,0.116666666666666641,0.116666666666666641,0.000103633166666666662,0.949615354392393862,0.843091395681422662,0,0,0.0833333333333333287,0.0833333333333333287,0.00237886436666666671,0.949615354392393862,0.843091395681422662,0,0,0.0833333333333333287,0.0833333333333333287,0.00927049670000000027,0.949615354392393862,0.843091395681422662,0,0,0.116666666666666641,0.116666666666666641,0.0585451640666666689,0.949615354392393862,0.843091395681422662,0,0,0.116666666666666641,0.116666666666666641,0.0530245046999999955
2,2,2,1,1,1,0,0,0.149999999999999994,0.149999999999999994,4.76657666666666668e-05,1,1,0,0,0.0833333333333333287,0.0833333333333333287,0.00130291210000000007,0.969495744523099279,0.969495744523099279,0.0166666666666666699,0.030504255476900756,0.0833333333333333287,0.0833333333333333287,0.00136593833333333329,1,1,0,0,0.149999999999999994,0.149999999999999994,0.00992216173333333382,0.969495744523099279,0.969495744523099279,0.0166666666666666699,0.030504255476900756,0.149999999999999994,0.149999999999999994,0.00974976736666666524
2,3,-2,0.333333333333333315,0.92721577849419845,0.900550069226659367,0,0,0.516666666666666718,0.516666666666666718,4.69489333333333338e-05,0.950595381654764982,0.932163478404180568,0,0,0.100000000000000019,0.0682907392007676278,0.00186577139999999993,0.950595381654764982,0.932163478404180568,0,0,0.100000000000000019,0.0682907392007676278,0.00216745836666666679,0.950595381654764982,0.932163478404180568,0,0,0.116666666666666655,0.0849574058674343185,0.0108759524666666666,0.950595381654764982,0.932163478404180568,0,0,0.116666666666666655,0.0849574058674343185,0.0109879885666666673
2,3,-1,0.333333333333333315,0.963515353844517031,0.939071028405031649,0,0,0.450000000000000011,0.450000000000000011,5.35162333333333344e-05,0.963515353844517031,0.948648236926868949,0,0,0.100000000000000006,0.0596788279951234527,0.00178666833333333331,0.963515353844517031,0.948648236926868949,0,0,0.116666666666666655,0.0671808770644849035,0.00205636140000000018,0.963515353844517031,0.948648236926868949,0,0,0.100000000000000006,0.0596788279951234527,0.0111458221333333336,0.963515353844517031,0.948648236926868949,0,0,0.133333333333333359,0.072697296264162381,0.0121318803999999995
2,3,1,0.333333333333333315,0.944539802384071758,0.929028256775904504,0,0,0.5,0.5,5.11068999999999968e-05,0.949394996698957327,0.937697670232221059,0,0,0.100000000000000006,0.0516599314859239253,0.00189117786666666678,0.949394996698957327,0.937697670232221059,0,0,0.100000000000000006,0.0516599314859239253,0.00217678893333333318,0.949394996698957327,0.937697670232221059,0,0,0.100000000000000006,0.0537363060383907534,0.0230633352333333326,0.946117444688069131,0.934420118221332863,0.0111111111111111115,0.0216203124193275163,0.149999999999999994,0.0822033003854751726,0.0226578634333333348
2,3,2,0.333333333333333315,0.992221492856948051,0.975002733266964183,0.0111111111111111098,0.0115511102077164932,0.75,0.75,4.79116333333333373e-05,0.993533175338737307,0.993533175338737307,0.0111111111111111098,0.00988266790793015937,0.0166666666666666699,0.00884249410747475588,0.00112835936666666665,0.992221492856948051,0.98198206513102082,0.0111111111111111098,0.0115511102077164932,0.0166666666666666699,0.00884249410747475588,0.00118391303333333325,0.993533175338737307,0.993533175338737307,0.0111111111111111098,0.00988266790793015937,0.0166666666666666699,0.00884249410747475588,0.0135913154999999994,0.989688040524950075,0.979448612799022844,0.0222222222222222231,0.0267703992957933588,0.0166666666666666699,0.013306184816432292,0.0112589193666666667
