m,apmcloss,usmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0,0.700000000000000067,0.125304074939110749,0.236666224367599487,0.125304074939110749,0.236666224367599487
3,0,0.800000000000000155,0.108840716875103938,0.189570786636352989,0.10080867395596689,0.157886235146310533
4,0,0.850000000000000089,0.053602003422757033,0.124933500409999565,0.0495080830565885754,0.10986457535084164
5,0,0.850000000000000089,0.0983744513709293167,0.149955554729561708,0.0661358071849179052,0.111374834144163812
6,0,0.900000000000000022,0,0,0,0
7,0,0.900000000000000022,0,0,0,0
8,0,0.900000000000000022,0,0,0,0
9,0,0.900000000000000022,0,0,0,0
10,0,0.900000000000000022,0,0,0,0
