m,apmcloss,usmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0,0.199999999999999983,0.0643189631823587599,0.202670700220798361,0.0643189631823587599,0.202670700220798361
3,0,0.299999999999999989,0.156610538408787081,0.35037897876851859,0.156610538408787081,0.344056918037059289
4,0,0.349999999999999978,0.190770551716303888,0.396435548189826403,0.185538331419873775,0.384689822428045058
5,0,0.349999999999999978,0.247646005151219761,0.44659424736183756,0.238853407374828269,0.422963703997333296
6,0,0.400000000000000022,0.241883174365283227,0.41795321699729282,0.222736461254722434,0.381841596728207222
7,0,0.400000000000000022,0.251260876013284729,0.469193610737562772,0.220513103212314987,0.406851715176129614
8,0,0.400000000000000022,0.254209807911114583,0.466471176327549808,0.221618387373818782,0.410924235591236142
9,0,0.400000000000000022,0.275531847733690494,0.471431473310267635,0.237857382477056678,0.416569253232349113
10,0,0.400000000000000022,0.272082413637182663,0.459769705687695984,0.243848011419856209,0.405467458087038435
