m,apef,usef,gwef,geef,owef,oeef
2,0,0,0,0.0133333333333333325,0,0.0133333333333333325
3,0.037037037037037035,0,0,0.0222222222222222231,0,0.0222222222222222231
4,0.00833333333333333322,0,0,0.0583333333333333273,0,0.0583333333333333273
5,0.0400000000000000008,0,0,0.0833333333333333426,0,0.0733333333333333337
6,0,0,0,0.0888888888888888784,0,0.0888888888888888784
7,0,0,0,0.0857142857142857151,0,0.0857142857142857151
8,0,0,0,0.141666666666666663,0,0.141666666666666663
9,0,0,0,0.14814814814814814,0,0.14814814814814814
10,0,0,0,0.170000000000000012,0,0.170000000000000012
