m,apefloss,usefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0.0538904579819151422,0,0.0538904579819151422
3,0.085714285714285729,0,0,0.0457406498888454499,0,0.0457406498888454499
4,0.194347759945459941,0,0,0.0538953048096293824,0,0.0546222921059090899
5,0.342288977868902944,0,0,0.0556633981404530687,0.000340408652671702163,0.0558495246832657888
6,0.408059287615595512,0,0.00163265485511365793,0.0585753164450078245,0.00163265485511365793,0.0621901605893972753
7,0.499426599270339333,0,0.00179046524194487427,0.0777178267116251098,0.00169614451699779214,0.0876073941198688005
8,0.537743089998421575,0,0.00200325841924142668,0.0670089459288299299,0.00188362041147113204,0.0662164414653296229
9,0.61622748359429691,0,0.00292691808028554181,0.0934426016975675178,0.00330964702317873517,0.101343266917987423
10,0.634481642959853431,0,0.00299135916668421577,0.0908098070217958214,0,0.102576577731984447
