m,apef,usef,gwef,geef,owef,oeef
2,0,0,0,0.0533333333333333298,0,0.0533333333333333298
3,0.0285714285714285705,0,0,0.0619047619047619069,0,0.0619047619047619069
4,0.0510416666666666796,0,0,0.0604166666666666671,0,0.061458333333333337
5,0.0825000000000000039,0,0,0.0641666666666666774,0.000833333333333333604,0.0650000000000000022
6,0.0882716049382716028,0,0.00061728395061728383,0.0679012345679012308,0.00061728395061728383,0.0709876543209876504
7,0.104232804232804219,0,0.00211640211640211654,0.0687830687830687793,0.00211640211640211654,0.0730158730158730063
8,0.106018518518518512,0,0.00092592592592592607,0.063888888888888884,0.00138888888888888916,0.0643518518518518406
9,0.12716049382716052,0,0.000823045267489712026,0.0609053497942386723,0.00288065843621399149,0.0691358024691358097
10,0.129629629629629622,0,0.00222222222222222135,0.0744444444444444381,0,0.0818518518518518562
