n,m,p,evwelfare,evrevenue,evef,evefloss,evmc,evmcloss,evtime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,0.25,0.994971747218711622,0.994971747218711622,0,0,0.270000000000000018,0,0.000236386850000000015,0.994971747218711622,0.994971747218711622,0,0,0.0349999999999999895,0.0349999999999999895,0.0018897502600000002,0.987270797588415627,0.987270797588415627,0.0049999999999999975,0.00770094963029600236,0.0499999999999999958,0.0462983793621184886,0.00129358599000000004,0.994971747218711622,0.994971747218711622,0,0,0.0349999999999999895,0.0349999999999999895,0.0204769678099999998,0.987270797588415627,0.987270797588415627,0.0049999999999999975,0.00770094963029600236,0.0499999999999999958,0.0462983793621184886,0.0216186932199999987
2,2,0.5,0.986585436452218634,0.968633702181783796,0,0,0.28999999999999998,0,8.08797699999999956e-05,0.971013523238331011,0.961917962540121185,0,0,0.115000000000000005,0.115000000000000005,0.000995335190000000078,0.964556893886848843,0.949815123902624459,0.014999999999999989,0.0145495400148128971,0.139999999999999958,0.127931546293466952,0.0010453242499999999,0.986585436452218634,0.968633702181783796,0,0,0.095000000000000015,0.095000000000000015,0.030984958659999999,0.972035896437405733,0.954084162166970895,0.014999999999999989,0.0145495400148128971,0.130000000000000032,0.118847561599804794,0.03145860927
2,2,0.75,0.948708639644598284,0.880179172149317957,0,0,0.159999999999999976,0,7.37044400000000014e-05,0.901930751601655256,0.849845508020488971,0,0,0.19000000000000003,0.19000000000000003,0.00130442128999999998,0.904724280599690345,0.841509648691563306,0,0,0.19000000000000003,0.181641776838484481,0.00122682673999999995,0.948708639644598284,0.880179172149317957,0,0,0.135000000000000009,0.135000000000000009,0.0603309300800000045,0.948708639644598284,0.880179172149317957,0,0,0.135000000000000009,0.135000000000000009,0.0574830464299999969
2,2,1,0.885666613516979617,0.802098323027795601,0,0,0.220000000000000029,0,0.000101615750000000007,0.885666613516979617,0.802098323027795601,0,0,0.220000000000000029,0.220000000000000029,0.00149152383999999992,0.885666613516979617,0.802098323027795601,0,0,0.220000000000000029,0.220000000000000029,0.00139129398000000003,0.885666613516979617,0.802098323027795601,0,0,0.220000000000000029,0.220000000000000029,0.0661917161499999962,0.885666613516979617,0.802098323027795601,0,0,0.220000000000000029,0.220000000000000029,0.068243379899999998
2,3,0.25,0.997790611669721605,0.996089013161576275,0,0,0.265000000000000013,0,5.43457299999999992e-05,0.997790611669721605,0.996089013161576275,0,0,0.03999999999999998,0.03999999999999998,0.00104363337999999997,0.97268245634646977,0.97098085783832444,0.0233333333333333448,0.0214918438505492838,0.08500000000000002,0.0738122173454681674,0.00113674483999999998,0.997790611669721605,0.996089013161576275,0,0,0.03999999999999998,0.03999999999999998,0.0234233503399999994,0.976203555147015289,0.974501956638869959,0.0233333333333333448,0.0214918438505492838,0.0799999999999999878,0.0702911185449226344,0.0251945309400000012
2,3,0.5,0.994162269342501403,0.961954773747537351,0,0,0.16499999999999998,0,6.39465199999999964e-05,0.954079669911050865,0.933278659018413115,0.00333333333333333615,0.00316483266332726098,0.0899999999999999828,0.0899999999999999828,0.00116381725000000002,0.917185108435621399,0.892371959801919301,0.0466666666666666688,0.0440770635993826959,0.139999999999999958,0.122517264426051875,0.00128666265000000005,0.994162269342501403,0.961954773747537351,0,0,0.0449999999999999983,0.0449999999999999983,0.0392881294399999997,0.949378196316341683,0.922236760604002281,0.0366666666666666599,0.0305629578023499417,0.110000000000000001,0.0934833054769008409,0.0471894906000000017
2,3,0.75,0.966060424128439288,0.895076359284549872,0,0,0.0850000000000000061,0,6.27065400000000029e-05,0.94093129711120238,0.880510710493064286,0.00999999999999999847,0.00189549107879958428,0.0999999999999999917,0.0999999999999999917,0.00123146901999999993,0.884527364274708128,0.80034985889176069,0.0666666666666666519,0.0617798674435654088,0.125,0.113150426000245982,0.0014339348400000001,0.966060424128439288,0.895076359284549872,0,0,0.0699999999999999789,0.0699999999999999789,0.0536448538600000011,0.936413299841416968,0.867179542154474681,0.029999999999999985,0.0272457800409845081,0.08500000000000002,0.0836045309178696655,0.0752321567400000002
2,3,1,0.940483292005330318,0.839981992582968462,0,0,0.115000000000000005,0,6.11358000000000051e-05,0.940483292005330318,0.839981992582968462,0,0,0.115000000000000005,0.115000000000000005,0.00125899221000000004,0.89499419871365915,0.781852965379517317,0.0233333333333333379,0.0146730247939077327,0.150000000000000022,0.150000000000000022,0.00149309980999999992,0.940483292005330318,0.839981992582968462,0,0,0.115000000000000005,0.115000000000000005,0.0576414023599999964,0.89499419871365915,0.781852965379517317,0.0233333333333333379,0.0146730247939077327,0.150000000000000022,0.150000000000000022,0.103485903990000003
2,4,0.25,0.995500056368338382,0.989140868909753168,0,0,0.28999999999999998,0,4.92166700000000039e-05,0.990504680230743118,0.984386434138234567,0.00249999999999999875,0.000542572541250503355,0.0500000000000000028,0.0500000000000000028,0.00103237681999999997,0.938984098551977064,0.926832658606264737,0.0275000000000000001,0.0449904964741098257,0.13000000000000006,0.101892730493361353,0.00116874084000000004,0.995500056368338382,0.989140868909753168,0,0,0.0449999999999999845,0.0449999999999999845,0.0272742015099999985,0.948031815200866546,0.941672627742281332,0.0275000000000000001,0.0449904964741098257,0.119999999999999954,0.0957411400880354285,0.0297548474699999982
2,4,0.5,0.981883115705290965,0.957766618656534341,0,0,0.0799999999999999739,0,5.82338199999999994e-05,0.966885645018851325,0.945578298463096267,0.00749999999999999452,0.00608410090745410952,0.0500000000000000028,0.0500000000000000028,0.00122470188000000008,0.915740097047749724,0.886151666471018951,0.0625,0.0760624307400404875,0.100000000000000006,0.0873448466749084107,0.00145289017000000006,0.981883115705290965,0.957766618656534341,0,0,0.0349999999999999895,0.0349999999999999895,0.0401358526499999979,0.943705615852526991,0.911205193611555608,0.0449999999999999983,0.0501064492716643065,0.0900000000000000105,0.0744744476969621677,0.0536227385199999976
