n,m,k,apwelfare,aprevenue,apef,apefloss,apmc,apmcloss,aptime,uswelfare,usrevenue,usef,usefloss,usmc,usmcloss,ustime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,1,1,1,0,0,0,0,0.000178335350000000017,0.807176858530945118,0.807176858530945118,0,0,0.5,0.5,0.000145782010000000022,1,1,0,0,0,0,3.92542499999999977e-05,0.918088433816730887,0.918088433816730887,0.0900000000000000105,0.081911566183269155,0,0,3.87411599999999982e-05,1,1,0,0,0,0,0.00799409753000000084,0.918088433816730887,0.918088433816730887,0.0900000000000000105,0.081911566183269155,0,0,0.00767423683000000023
2,2,2,1,1,0,0,0,0,3.91264600000000028e-05,1,1,0,0,0,0,5.99031200000000005e-05,1,1,0,0,0,0,1.62238200000000001e-05,0.777594171803877576,0.777594171803877576,0.265000000000000013,0.222405828196122424,0,0,1.29027700000000008e-05,1,1,0,0,0,0,0.00697126503999999977,0.777594171803877576,0.777594171803877576,0.265000000000000013,0.222405828196122424,0,0,0.00688909966000000006
2,3,1,1,1,0,0,0,0,3.37483800000000023e-05,0.728371391896500797,0.728371391896500797,0,0,0.5,0.5,4.09567499999999971e-05,1,1,0,0,0,0,1.27946299999999998e-05,0.846025119589541741,0.846025119589541741,0.186666666666666647,0.198430441914174777,0,0,9.72407000000000023e-06,1,1,0,0,0,0,0.00703787213000000005,0.846025119589541741,0.846025119589541741,0.186666666666666647,0.198430441914174777,0,0,0.00696059385000000024
2,3,2,1,1,0,0,0,0,2.95740599999999992e-05,1,1,0,0,0,0,3.09900100000000005e-05,1,1,0,0,0,0,7.33514999999999956e-06,0.785792412634055415,0.785792412634055415,0.283333333333333326,0.199664250798430115,0,0,5.59144999999999963e-06,1,1,0,0,0,0,0.00693651937999999971,0.785792412634055415,0.785792412634055415,0.283333333333333326,0.199664250798430115,0,0,0.00688057858000000033
2,4,1,1,1,0,0,0,0,1.86485700000000009e-05,0.652087421699589997,0.652087421699589997,0,0,0.5,0.5,4.25666599999999974e-05,1,1,0,0,0,0,9.28893000000000053e-06,0.805394851735386941,0.805394851735386941,0.244999999999999996,0.251890030764579664,0,0,6.16484999999999994e-06,1,1,0,0,0,0,0.00716974454000000004,0.805394851735386941,0.805394851735386941,0.244999999999999996,0.251890030764579664,0,0,0.00695682203000000041
2,4,2,1,1,0,0,0,0,1.8409429999999999e-05,1,1,0,0,0,0,4.00413999999999992e-05,1,1,0,0,0,0,8.41542000000000048e-06,0.623810225003754049,0.623810225003754049,0.442500000000000004,0.330760116235821966,0,0,6.17878000000000033e-06,1,1,0,0,0,0,0.00705030082999999995,0.623810225003754049,0.623810225003754049,0.442500000000000004,0.330760116235821966,0,0,0.0069266385300000002
2,5,1,1,1,0,0,0,0,1.62694100000000012e-05,0.627344233306592947,0.627344233306592947,0,0,0.5,0.5,4.68518299999999996e-05,1,1,0,0,0,0,8.24097999999999983e-06,0.762622025636060852,0.762622025636060852,0.318000000000000005,0.298188943001602591,0,0,5.66691999999999961e-06,1,1,0,0,0,0,0.00717763003999999979,0.762622025636060852,0.762622025636060852,0.318000000000000005,0.298188943001602591,0,0,0.00700475075000000016
2,5,2,1,1,0,0,0,0,2.01855099999999991e-05,1,1,0,0,0,0,5.27174199999999992e-05,1,1,0,0,0,0,1.13432399999999995e-05,0.633143883877470448,0.633143883877470448,0.414000000000000035,0.316404136561488802,0,0,6.55698000000000037e-06,1,1,0,0,0,0,0.00714152243999999995,0.633143883877470448,0.633143883877470448,0.414000000000000035,0.316404136561488802,0,0,0.00701718307000000034
2,6,1,1,1,0,0,0,0,1.68403599999999995e-05,0.611255534263877243,0.611255534263877243,0,0,0.5,0.5,5.852152e-05,1,1,0,0,0,0,7.51642000000000028e-06,0.760290417955860387,0.760290417955860387,0.303333333333333344,0.294514973248889422,0,0,6.14320999999999975e-06,1,1,0,0,0,0,0.00709216176000000004,0.760290417955860387,0.760290417955860387,0.303333333333333344,0.294514973248889422,0,0,0.00696973369000000037
2,6,2,1,1,0,0,0,0,5.65850300000000033e-05,1,1,0,0,0,0,0.000121636200000000013,1,1,0,0,0,0,1.985216e-05,0.576631100329147106,0.576631100329147106,0.478333333333333333,0.349336408856439462,0,0,1.57398000000000013e-05,1,1,0,0,0,0,0.00736331533999999999,0.576631100329147106,0.576631100329147106,0.478333333333333333,0.349336408856439462,0,0,0.00717200505000000019
