n,m,p,evwelfare,evrevenue,evef,evefloss,evmc,evmcloss,evtime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,0.25,0.999692717127807939,0.999692717127807939,0,0,0.305000000000000049,0,9.34262200000000116e-05,0.999692717127807939,0.999692717127807939,0,0,0.0549999999999999933,0.0549999999999999933,0.000902822919999999966,0.994833041857688283,0.994833041857688283,0,0,0.0850000000000000061,0.0776747440768756348,0.000965217169999999956,0.999692717127807939,0.999692717127807939,0,0,0.0549999999999999933,0.0549999999999999933,0.0195642849899999999,0.999692717127807939,0.999692717127807939,0,0,0.0800000000000000017,0.0728150688067558671,0.0198936580000000016
2,2,0.5,0.981990065655961364,0.965964635317745346,0,0,0.309999999999999998,0,6.58406499999999979e-05,0.947723869990603318,0.94316604832167128,0,0,0.139999999999999986,0.139999999999999986,0.000967452090000000013,0.931176976704443882,0.912403521140651375,0.0199999999999999935,0.0270752811739069649,0.169999999999999984,0.142351666359715134,0.00102987649000000009,0.981990065655961364,0.965964635317745346,0,0,0.0999999999999999917,0.0999999999999999917,0.031957203029999999,0.954914784482054357,0.938889354143838339,0.0199999999999999935,0.0270752811739069649,0.135000000000000009,0.11998787119489282,0.0323081704399999989
2,2,0.75,0.958097888364035533,0.924301683229022064,0,0,0.23000000000000001,0,0.00026431931999999997,0.935545215165316635,0.906643663632865526,0,0,0.194999999999999979,0.194999999999999979,0.00245082480000000016,0.916641761402131161,0.885623352124591201,0.0049999999999999975,0.00973276078197396304,0.235000000000000014,0.221761082299736206,0.00166401701000000002,0.958097888364035533,0.924301683229022064,0,0,0.169999999999999984,0.169999999999999984,0.0570844884299999966,0.948365127582061596,0.914568922447048127,0.0049999999999999975,0.00973276078197396304,0.200000000000000011,0.188648818191069156,0.0531256662199999993
2,2,1,0.904561859620702902,0.857152907876355119,0,0,0.29500000000000004,0,9.01190099999999962e-05,0.904561859620702902,0.857152907876355119,0,0,0.29500000000000004,0.29500000000000004,0.0014088863599999999,0.904561859620702902,0.857152907876355119,0,0,0.29500000000000004,0.29500000000000004,0.00130934163999999994,0.904561859620702902,0.857152907876355119,0,0,0.29500000000000004,0.29500000000000004,0.0649040045999999954,0.904561859620702902,0.857152907876355119,0,0,0.29500000000000004,0.29500000000000004,0.0668418700700000035
2,3,0.25,1,0.994019824504560612,0,0,0.29500000000000004,0,5.2819789999999998e-05,0.991325514451023015,0.987996367857629565,0,0,0.0449999999999999983,0.0449999999999999983,0.000913001890000000003,0.971608112566162974,0.967324293210957475,0.0133333333333333446,0.0227372506224696319,0.0950000000000000289,0.0679606243219135209,0.00103281702999999999,1,0.994019824504560612,0,0,0.0349999999999999895,0.0349999999999999895,0.0208467641300000006,0.977511457445726872,0.971531281950287484,0.0133333333333333446,0.0227372506224696319,0.08500000000000002,0.0612091013722326147,0.0227521056399999991
2,3,0.5,0.972890273042081088,0.958387692772952882,0,0,0.194999999999999979,0,6.23079199999999948e-05,0.955629129639492425,0.946604262565186705,0,0,0.115000000000000005,0.115000000000000005,0.00116331383999999992,0.916406847687730286,0.897809203255899524,0.029999999999999992,0.0240632965918556908,0.169999999999999984,0.147591037186172558,0.00126429367999999999,0.972890273042081088,0.958387692772952882,0,0,0.095000000000000015,0.095000000000000015,0.043845580369999998,0.948692225099669884,0.925483928377318743,0.0266666666666666614,0.0201352328279086959,0.130000000000000004,0.114222359309716748,0.0452838393999999977
2,3,0.75,0.950282701266692897,0.912170889095854531,0,0,0.180000000000000021,0,6.22325499999999942e-05,0.918231693984545627,0.887184122039393452,0.00333333333333333615,0.0025800967352678731,0.200000000000000011,0.200000000000000011,0.00124493269000000009,0.9166634725608932,0.826229546970334239,0.0166666666666666664,0.0149174588868268825,0.200000000000000039,0.178767276533005115,0.00138171667999999995,0.950282701266692897,0.912170889095854531,0,0,0.16499999999999998,0.16499999999999998,0.0515921748399999977,0.934156743174012316,0.850957430368009415,0.00999999999999999674,0.00913021672136651516,0.180000000000000021,0.166481350753053203,0.0756550594000000021
2,3,1,0.960642884533257968,0.86784320679402982,0,0,0.169999999999999984,0,5.91158000000000007e-05,0.960642884533257968,0.86784320679402982,0,0,0.169999999999999984,0.169999999999999984,0.00121057666000000006,0.923025360856293609,0.756248908085120131,0.0133333333333333359,0.0105747888769182341,0.16499999999999998,0.16499999999999998,0.00140408554000000002,0.960642884533257968,0.86784320679402982,0,0,0.169999999999999984,0.169999999999999984,0.0516126109000000013,0.923025360856293609,0.756248908085120131,0.0133333333333333359,0.0105747888769182341,0.16499999999999998,0.16499999999999998,0.10563969745
2,4,0.25,0.995791042201156662,0.991939222702740708,0,0,0.225000000000000006,0,4.81592700000000028e-05,0.987256985429183942,0.986337052386822455,0,0,0.0349999999999999825,0.0349999999999999825,0.000999415229999999974,0.936739604030269346,0.924709544861187394,0.0225000000000000026,0.0437275919537467028,0.100000000000000019,0.0657607779785448071,0.00115951193999999994,0.995791042201156662,0.991939222702740708,0,0,0.0249999999999999944,0.0249999999999999944,0.0290710360999999994,0.948159105686748216,0.944307286188332262,0.0199999999999999969,0.0427979861366737796,0.0850000000000000061,0.0584626433511060417,0.0270179446900000002
2,4,0.5,0.975090382291956992,0.958939758918800123,0,0,0.159999999999999976,0,5.75409999999999968e-05,0.969725809563456886,0.953210756832232664,0.00249999999999999832,0.000859923090068453739,0.0900000000000000244,0.0900000000000000244,0.00122079803999999999,0.912271788259788385,0.854287886369778704,0.0450000000000000053,0.0626507520834199416,0.139999999999999958,0.102663574495695964,0.00139929916000000013,0.975090382291956992,0.958939758918800123,0,0,0.0850000000000000061,0.0850000000000000061,0.0399652965700000029,0.918834152042722785,0.85046382294797418,0.0349999999999999825,0.0482686318666416467,0.119999999999999982,0.0912410568741694461,0.052093137649999996
2,4,0.75,0.970674947884595074,0.920336352055891926,0,0,0.125,0,5.70171799999999988e-05,0.951909656082217226,0.899714168652868684,0.0149999999999999873,0.0110967722554272102,0.119999999999999982,0.119999999999999982,0.00114686462999999991,0.858298032831622204,0.747812375117545947,0.08249999999999999,0.0947419926370930282,0.160000000000000003,0.130393869334184148,0.00139430206999999998,0.970674947884595074,0.920336352055891926,0,0,0.10500000000000001,0.10500000000000001,0.0508247216700000032,0.882431183004615649,0.774628449696440846,0.0699999999999999928,0.10571871542196136,0.109999999999999987,0.0935416737062283732,0.0893866153999999941
2,4,1,0.969726700730853208,0.900695723378171609,0,0,0.160000000000000003,0,5.63185499999999963e-05,0.969726700730853208,0.900695723378171609,0,0,0.160000000000000003,0.160000000000000003,0.0014251035,0.92994528629033546,0.7535933504198018,0.0425000000000000031,0.0474546798008682533,0.130000000000000004,0.130000000000000004,0.0014692738700000001,0.969726700730853208,0.900695723378171609,0,0,0.160000000000000003,0.160000000000000003,0.0386135833700000028,0.92994528629033546,0.7535933504198018,0.0425000000000000031,0.0474546798008682533,0.130000000000000004,0.130000000000000004,0.121222202119999997
2,5,0.25,0.99095115343447715,0.988297704331756677,0,0,0.21000000000000002,0,4.97909999999999981e-05,0.99095115343447715,0.988297704331756677,0,0,0.0349999999999999964,0.0349999999999999964,0.00111384105999999994,0.919163111918937292,0.915361994990645744,0.0320000000000000007,0.0663132952725802999,0.119999999999999982,0.0786306340768357509,0.00128659136999999995,0.99095115343447715,0.988297704331756677,0,0,0.0349999999999999964,0.0349999999999999964,0.0294034638499999987,0.925591409620391881,0.921790292692100222,0.0359999999999999973,0.0709359997827026523,0.109999999999999987,0.0718556830909538313,0.0377357759099999981
