n,m,k,p,spwelfare,sprevenue,spef,spefloss,spmc,spmcloss,sptime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,-3,0.25,0.985229186877554786,0.965699510895453694,0,0,0.599999999999999978,0.599999999999999978,2.53201400000000012e-05,0.993950656762449647,0.978832085574413258,0,0,0.0349999999999999895,0.0272814956155938981,0.000759465409999999955,0.993950656762449647,0.978832085574413258,0,0,0.0349999999999999895,0.0272814956155938981,0.000822663319999999976,0.993950656762449647,0.978832085574413258,0,0,0.0599999999999999908,0.0522814956155938926,0.017352804329999999,0.993950656762449647,0.978832085574413258,0,0,0.0599999999999999908,0.0522814956155938926,0.0173691043299999993
2,2,-2,0.25,0.981698882412088358,0.963748731621925758,0,0,0.645000000000000018,0.645000000000000018,2.44625199999999997e-05,0.983935193978443423,0.9702946630517153,0,0,0.0299999999999999815,0.0209027719910377836,0.000742537280000000002,0.983935193978443423,0.9702946630517153,0,0,0.0299999999999999815,0.0209027719910377836,0.000798001929999999976,0.988001534865249331,0.97436100393852132,0,0,0.039999999999999987,0.0347948214569180972,0.0302287639900000009,0.988001534865249331,0.97436100393852132,0,0,0.039999999999999987,0.0347948214569180972,0.0177769379999999991
2,2,-1,0.25,0.978837369994371875,0.976743656227932466,0,0,0.70499999999999996,0.70499999999999996,2.79654300000000003e-05,0.990197492826436654,0.987779177558042121,0.00499999999999999663,0.000102013584373613329,0.0250000000000000014,0.0224145738553059685,0.000719983290000000028,0.987413967817330152,0.984995652548935618,0,0,0.0250000000000000014,0.0224145738553059685,0.000743795849999999968,0.990197492826436654,0.987779177558042121,0.00499999999999999663,0.000102013584373613329,0.0299999999999999781,0.0274145738553059556,0.0188211632599999991,0.987688588201865669,0.985270272933471136,0.009999999999999995,0.00344326213954787488,0.0350000000000000033,0.0302904745713260884,0.0184233340399999994
2,2,1,0.25,0.988646510660047717,0.98209314460594499,0,0,0.744999999999999885,0.744999999999999885,0.000252159519999999992,0.992811640853417332,0.988649864552695989,0,0,0.0049999999999999975,0.00259713301560155277,0.00116665331999999994,0.992811640853417332,0.988649864552695989,0,0,0.0049999999999999975,0.00259713301560155277,0.00223790557999999995,0.996951516649429936,0.992789740348708705,0.009999999999999995,0.0122817157121017061,0.0049999999999999975,0.00259713301560155277,0.0205295356600000006,0.985583233842221573,0.981421457541500231,0.0049999999999999975,0.00846022611733097084,0.0199999999999999935,0.00830542351300898873,0.0213853474100000017
2,2,2,0.25,1,1,0,0,0.929999999999999938,0.929999999999999938,2.38651600000000004e-05,1,1,0,0,0.00499999999999999663,0.00499999999999999663,0.000487548950000000027,1,1,0,0,0.00499999999999999663,0.00499999999999999663,0.000514338570000000034,1,1,0,0,0.00499999999999999663,0.00499999999999999663,0.0137149676400000007,1,1,0,0,0.00499999999999999663,0.00499999999999999663,0.0136100913399999999
2,2,3,0.25,1,1,0,0,0.959999999999999964,0.959999999999999964,2.29616199999999985e-05,1,1,0,0,0,0,0.000465806370000000018,1,1,0,0,0,0,0.000485115069999999984,1,1,0,0,0,0,0.0137449722900000008,1,1,0,0,0,0,0.0135674727399999993
2,2,-3,0.5,0.941041613942932842,0.890401222925158553,0,0,0.45499999999999996,0.45499999999999996,2.57377999999999995e-05,0.959452652597274525,0.931386886033332306,0,0,0.135000000000000009,0.11364422667170733,0.000946634050000000034,0.959452652597274525,0.931386886033332306,0,0,0.135000000000000009,0.11364422667170733,0.00104778355999999998,0.956501763845868602,0.928992897207790103,0,0,0.180000000000000021,0.15495316276310106,0.0205846755200000016,0.956501763845868602,0.928992897207790103,0,0,0.180000000000000021,0.15495316276310106,0.0210453897399999999
2,2,-2,0.5,0.955680684800135571,0.871334889685589919,0,0,0.41499999999999998,0.41499999999999998,2.62793799999999998e-05,0.965903840971684025,0.906976837297128635,0,0,0.109999999999999987,0.0886041170157642333,0.00101873288999999997,0.965903840971684025,0.911359268796638089,0,0,0.095000000000000015,0.0736041170157642338,0.00110917445000000003,0.969427703966102672,0.916349802881395115,0,0,0.139999999999999986,0.120942200744764528,0.0277534336600000001,0.969427703966102672,0.916349802881395115,0,0,0.139999999999999986,0.120942200744764528,0.0230204281600000019
2,2,-1,0.5,0.96007402581217538,0.914572602448354921,0,0,0.375,0.375,2.86366799999999984e-05,0.977392277273779086,0.942128557547449175,0.00999999999999999674,0.0102331273682089458,0.024999999999999991,0.0152029424022516908,0.000840122470000000078,0.974438862238559689,0.938811337510226052,0,0,0.0349999999999999895,0.0235924343390115226,0.000871776979999999983,0.981656057831388429,0.946028533103054903,0.009999999999999995,0.0066743258846263245,0.0349999999999999964,0.0252029424022516685,0.0283186664599999992,0.94964293051137616,0.914015405783042523,0.0249999999999999875,0.035508792852397171,0.075000000000000025,0.0487341756352992622,0.0313045508799999969
2,2,1,0.5,0.939624806052094308,0.897807759279120376,0,0,0.445000000000000007,0.445000000000000007,5.82249099999999995e-05,0.959845519922167822,0.9218041441206688,0.0149999999999999908,0.0103747367162614137,0.0450000000000000053,0.0265332422971908469,0.00106820511999999998,0.965324409352208979,0.926045527070864405,0.0049999999999999975,0.00142519946822403294,0.0549999999999999933,0.0351790845536785537,0.00109820697000000004,0.970317223580127508,0.931038341298782934,0.01999999999999999,0.0173525286652111421,0.0599999999999999908,0.0415332422971908324,0.0334428049099999986,0.958321274431703451,0.919042392150358878,0.0149999999999999925,0.0102238303628389079,0.0650000000000000022,0.0424427171077339932,0.0338328435199999958
