m,evrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.849287830793720055,0.929255396524359067,0.923056895120625831,0.924228201697752993,0.924228201697752993
3,0.792823425138923898,0.842434924818643238,0.831991167965196343,0.878044498797029171,0.876103107528123481
4,0.759292924205125619,0.820398216862072593,0.812944400801149492,0.842882743902719334,0.839344559965717329
5,0.746660852155383137,0.800797214275660862,0.786103742115473292,0.825099380284379791,0.822959896211122754
6,0.74782323038945131,0.797965524363531298,0.790653782201718669,0.81470517216903271,0.815122464240885414
7,0.71626371085315077,0.770046486143865838,0.751783417080508554,0.787044857085188787,0.786764752719772864
8,0.728230367662374589,0.764809094443968718,0.744087790630893697,0.782853930565470368,0.782792493872240702
9,0.708110490391009151,0.743356106791747684,0.737216110649342671,0.757010580311992087,0.75295481974411993
10,0.710859822716638612,0.747038213582103761,0.714224358627531863,0.750439435757530582,0.749256165679788477
