m,evef,gwef,geef,owef,oeef
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.00277777777777777788,0,0.00277777777777777788
5,0,0.00222222222222222222,0,0,0
6,0,0.00185185185185185192,0,0,0
7,0,0,0,0,0
8,0,0.00138888888888888894,0.00138888888888888894,0,0
9,0,0,0.00123456790123456723,0,0
10,0,0.00111111111111111198,0.00444444444444444444,0,0.00111111111111111111
