m,evefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.00140610364733511641,0,0.00140610364733511641
5,0,0.000828353830146107768,0,0,0
6,0,0.00206703763169352461,0,0,0
7,0,0,0,0,0
8,0,0.00348074119958004203,0.00301981201943907597,0,0
9,0,0,0.00274981316330454376,0,0
10,0,0.00190458958626133824,0.0112215131215936768,0,0.000545687133707607481
