m,evmc,gwmc,gemc,owmc,oemc
5,0.533333333333333326,0.533333333333333326,0.533333333333333326,0.533333333333333326,0.533333333333333326
6,0.486666666666666692,0.486666666666666692,0.440000000000000002,0.486666666666666692,0.440000000000000002
7,0.440000000000000002,0.440000000000000002,0.45333333333333331,0.440000000000000002,0.45333333333333331
8,0.443333333333333357,0.429999999999999993,0.353333333333333333,0.41666666666666663,0.366666666666666696
9,0.479999999999999982,0.466666666666666674,0.400000000000000022,0.450000000000000011,0.393333333333333313
10,0.32999999999999996,0.33666666666666667,0.263333333333333308,0.316666666666666652,0.253333333333333299
