m,evef,gwef,geef,owef,oeef
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0.00625000000000000035,0.00625000000000000121,0,0.00416666666666666748
9,0,0.00185185185185185127,0.0185185185185185175,0,0.0055555555555555549
10,0,0.00333333333333333355,0.0166666666666666664,0,0.0100000000000000019
