m,evefloss,gwefloss,geefloss,owefloss,oeefloss
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0.00452697470224676032,0.0163812633706381452,0,0.00934527125770694307
9,0,0.00640464313666196279,0.049734230779854248,0,0.0123986661174846531
10,0,0.00467851609459692553,0.0262584788550995901,0,0.0139259868419524639
