m,apefloss,usefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0.0121788845393200305,0,0.0121788845393200305
3,0.111111111111111119,0,0,0.028770946684454568,0,0.028770946684454568
4,0.0172081124193368684,0,0,0.0779859890887398544,0,0.0779859890887398544
5,0.185383153361690811,0,0,0.13142370196010969,0,0.115118867840094868
6,0,0,0,0.197240916263510258,0,0.197240916263510258
7,0,0,0,0.217961523405754087,0,0.217961523405754087
8,0,0,0,0.234548517713100091,0,0.234548517713100091
9,0,0,0,0.345202680939706019,0,0.345202680939706019
10,0,0,0,0.360173313878516033,0,0.360173313878516033
