n,m,k,p,spwelfare,sprevenue,spef,spefloss,spmc,spmcloss,sptime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,-2,0.333333333333333315,0.967660066762085269,0.932933291721317448,0,0,0.533333333333333326,0.533333333333333326,4.44157666666666692e-05,0.959340127058741388,0.935811620475078376,0.0166666666666666664,0.00247673342948615894,0.0833333333333333426,0.0634833667999253337,0.00161439316666666657,0.972448881240639329,0.947946367965939563,0,0,0.0666666666666666796,0.0468167001332586638,0.00165895090000000005,0.972448881240639329,0.957365561885417327,0,0,0.0666666666666666796,0.0468167001332586638,0.0160540891333333345,0.972448881240639329,0.957365561885417327,0,0,0.0666666666666666796,0.0468167001332586638,0.0180718259333333339
2,2,-1,0.333333333333333315,0.979545432227000856,0.967441510930432291,0,0,0.566666666666666652,0.566666666666666652,8.77563666666666655e-05,0.986534718837928204,0.986534718837928204,0,0,0.0333333333333333398,0.0240838342411178394,0.00156379900000000005,0.986534718837928204,0.986534718837928204,0,0,0.0333333333333333398,0.0240838342411178394,0.00172424346666666677,0.987865723677465613,0.987865723677465613,0.0166666666666666664,0.0207079893956654028,0.0333333333333333398,0.0240838342411178394,0.0277023404333333334,0.987865723677465613,0.987865723677465613,0.0166666666666666664,0.0207079893956654028,0.0500000000000000097,0.0288836992908195478,0.0227309838666666687
2,2,1,0.333333333333333315,0.963352549118080992,0.963352549118080992,0,0,0.58333333333333337,0.58333333333333337,0.00234361759999999987,0.963352549118080992,0.963352549118080992,0,0,0.0666666666666666796,0.0172935884179558144,0.00444544576666666691,0.963352549118080992,0.963352549118080992,0,0,0.0666666666666666796,0.0172935884179558144,0.00517864780000000004,0.963352549118080992,0.963352549118080992,0,0,0.0833333333333333287,0.0339602550846224843,0.0344222767666666693,0.963352549118080992,0.963352549118080992,0,0,0.0833333333333333287,0.0339602550846224843,0.0322437380666666662
2,2,2,0.333333333333333315,1,1,0,0,0.949999999999999956,0.949999999999999956,9.33424999999999961e-05,1,1,0,0,0,0,0.000835509700000000035,1,1,0,0,0,0,0.000874216433333333334,1,1,0,0,0,0,0.0138506444333333333,1,1,0,0,0,0,0.0119671015666666675
2,2,-2,0.66666666666666663,0.936235954759499167,0.865328318630569693,0,0,0.366666666666666641,0.366666666666666641,3.93425666666666649e-05,0.978367025153451864,0.911805514484941959,0,0,0.0666666666666666796,0.0410376236925090732,0.00186142716666666671,0.978367025153451864,0.911805514484941959,0,0,0.0833333333333333287,0.0577042903591757431,0.00195028863333333337,0.972596236963428562,0.92058102491570093,0,0,0.200000000000000011,0.181370481357622987,0.0671440093000000016,0.972596236963428562,0.92058102491570093,0,0,0.200000000000000011,0.181370481357622987,0.0157326180333333329
2,2,-1,0.66666666666666663,0.877837746349882209,0.82193325475531398,0,0,0.333333333333333315,0.333333333333333315,9.7314100000000004e-05,0.931235441337269432,0.874529706539421858,0,0,0.0666666666666666657,0.0458478772721673741,0.00225654533333333315,0.931235441337269432,0.874529706539421858,0,0,0.0833333333333333426,0.058231901686740771,0.00284771860000000016,0.931235441337269432,0.874529706539421858,0,0,0.0833333333333333287,0.062514543938834044,0.0436773794333333368,0.921371831400055408,0.864666096602207723,0.0166666666666666664,0.0176868510692538422,0.100000000000000006,0.0748985683534074409,0.0418162862000000038
2,2,1,0.66666666666666663,0.898427307008471288,0.803953560165802439,0,0,0.283333333333333326,0.283333333333333326,0.000140947499999999999,0.965190561500405941,0.880200153441743405,0.0166666666666666699,0.0333333333333333398,0.0333333333333333398,0.0141194853522055887,0.0030479953666666666,0.972741611100338854,0.887751203041676318,0,0,0.0333333333333333398,0.0141194853522055887,0.00356036016666666684,0.977401659295806913,0.892411251237144376,0.0166666666666666699,0.0236456475156049985,0.0333333333333333398,0.0141194853522055887,0.0427507995333333349,0.972741611100338854,0.887751203041676318,0,0,0.0500000000000000028,0.0216256501749646848,0.0364163917333333309
2,2,2,0.66666666666666663,1,1,0,0,0.716666666666666563,0.716666666666666563,5.99527333333333329e-05,1,1,0,0,0,0,0.000936575466666666719,1,1,0,0,0,0,0.00553884169999999988,1,1,0,0,0.0166666666666666664,0.0166666666666666664,0.00694039353333333366,1,1,0,0,0.0166666666666666664,0.0166666666666666664,0.00652540273333333289
2,2,-2,1,0.869007385352104755,0.777136870345978115,0,0,0.366666666666666641,0.366666666666666641,4.15729333333333365e-05,0.869007385352104755,0.777136870345978115,0,0,0.233333333333333309,0.233333333333333309,0.00194477756666666668,0.869007385352104755,0.777136870345978115,0,0,0.233333333333333309,0.233333333333333309,0.00242578679999999993,0.869007385352104755,0.777136870345978004,0,0,0.433333333333333348,0.433333333333333348,0.051246508533333332,0.869007385352104755,0.777136870345978004,0,0,0.433333333333333348,0.433333333333333348,0.054115388466666664
2,2,-1,1,0.911145951035785662,0.812024767455165164,0,0,0.133333333333333359,0.133333333333333359,9.71693333333333383e-05,0.919386705972463858,0.80176554794453081,0,0,0.0833333333333333426,0.0833333333333333426,0.00222500936666666666,0.919386705972463858,0.80176554794453081,0,0,0.0833333333333333426,0.0833333333333333426,0.00249416910000000011,0.911145951035785662,0.812024767455165164,0,0,0.133333333333333359,0.133333333333333359,0.063079674500000002,0.911145951035785662,0.812024767455165164,0,0,0.133333333333333359,0.133333333333333359,0.0535405633999999978
