n,m,k,apwelfare,aprevenue,apef,apefloss,apmc,apmcloss,aptime,uswelfare,usrevenue,usef,usefloss,usmc,usmcloss,ustime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,1,1,1,0,0,0,0,0.0014248858666666669,0.843894323632042309,0.843894323632042309,0,0,0.5,0.5,0.000313615966666666633,1,1,0,0,0,0,7.03342000000000084e-05,0.948154458088221075,0.948154458088221075,0.0833333333333333287,0.0518455419117789737,0,0,7.42593333333333426e-05,1,1,0,0,0,0,0.0116892482333333329,0.948154458088221075,0.948154458088221075,0.0833333333333333287,0.0518455419117789737,0,0,0.00684300800000000025
2,2,2,1,1,0,0,0,0,9.68084333333333398e-05,1,1,0,0,0,0,0.000104773833333333336,1,1,0,0,0,0,4.20409999999999995e-05,0.847497486072917083,0.847497486072917083,0.18333333333333332,0.152502513927082944,0,0,3.83993000000000035e-05,1,1,0,0,0,0,0.00576556016666666601,0.847497486072917083,0.847497486072917083,0.18333333333333332,0.152502513927082944,0,0,0.006999839466666667
2,3,1,1,1,0,0,0,0,9.63571666666666594e-05,0.720207117608894332,0.720207117608894332,0,0,0.5,0.5,0.000106194866666666662,1,1,0,0,0,0,2.84518999999999977e-05,0.843072335680709606,0.843072335680709606,0.188888888888888884,0.210947014013051992,0,0,2.98038333333333342e-05,1,1,0,0,0,0,0.00411522206666666696,0.843072335680709606,0.843072335680709606,0.188888888888888884,0.210947014013051992,0,0,0.00547076346666666626
2,3,2,1,1,0,0,0,0,7.69915333333333297e-05,1,1,0,0,0,0,0.000109016600000000002,1,1,0,0,0,0,2.43542999999999982e-05,0.712458889555113717,0.712458889555113717,0.311111111111111116,0.270433697631824399,0,0,2.21219999999999993e-05,1,1,0,0,0,0,0.00549880069999999967,0.712458889555113717,0.712458889555113717,0.311111111111111116,0.270433697631824399,0,0,0.00415187703333333349
2,4,1,1,1,0,0,0,0,7.23508666666666653e-05,0.664123493851048963,0.664123493851048963,0,0,0.5,0.5,0.000109426966666666668,1,1,0,0,0,0,2.01486333333333322e-05,0.737973663911232758,0.737973663911232758,0.29166666666666663,0.370430638891522668,0,0,2.02985999999999991e-05,1,1,0,0,0,0,0.010242304666666667,0.737973663911232758,0.737973663911232758,0.29166666666666663,0.370430638891522668,0,0,0.0108509226333333344
2,4,2,1,1,0,0,0,0,5.19440666666666696e-05,1,1,0,0,0,0,0.000128693733333333331,1,1,0,0,0,0,2.27355333333333328e-05,0.598765970218482879,0.598765970218482879,0.408333333333333326,0.356952600016986754,0,0,1.96430666666666683e-05,1,1,0,0,0,0,0.0124895687333333311,0.598765970218482879,0.598765970218482879,0.408333333333333326,0.356952600016986754,0,0,0.0120092532666666654
2,5,1,1,1,0,0,0,0,5.80229333333333365e-05,0.591892590456212675,0.591892590456212675,0,0,0.5,0.5,7.43124666666666704e-05,1,1,0,0,0,0,2.31870333333333335e-05,0.742786643493775323,0.742786643493775323,0.313333333333333353,0.354446053890539681,0,0,1.93869999999999992e-05,1,1,0,0,0,0,0.0277851186333333347,0.742786643493775323,0.742786643493775323,0.313333333333333353,0.354446053890539681,0,0,0.0268852062999999988
2,5,2,1,1,0,0,0,0,5.25027333333333347e-05,1,1,0,0,0,0,7.32918999999999953e-05,1,1,0,0,0,0,2.27460666666666655e-05,0.67840798994424556,0.67840798994424556,0.366666666666666696,0.280653018558221279,0,0,2.16713000000000004e-05,1,1,0,0,0,0,0.0237328616999999999,0.67840798994424556,0.67840798994424556,0.366666666666666696,0.280653018558221279,0,0,0.0238786448999999991
2,6,1,1,1,0,0,0,0,6.24945333333333362e-05,0.620738313807015274,0.620738313807015274,0,0,0.5,0.5,7.59002999999999956e-05,1,1,0,0,0,0,2.34936000000000015e-05,0.710852803918465725,0.710852803918465725,0.399999999999999967,0.346582172325423765,0,0,1.47157333333333338e-05,1,1,0,0,0,0,0.00849697779999999958,0.710852803918465725,0.710852803918465725,0.399999999999999967,0.346582172325423765,0,0,0.00717005889999999986
2,6,2,1,1,0,0,0,0,5.3840533333333334e-05,1,1,0,0,0,0,7.79294999999999999e-05,1,1,0,0,0,0,1.43914999999999993e-05,0.618144760131176252,0.618144760131176252,0.438888888888888884,0.305852036202766187,0,0,9.66119999999999993e-06,1,1,0,0,0,0,0.00412967379999999978,0.618144760131176252,0.618144760131176252,0.438888888888888884,0.305852036202766187,0,0,0.00348550866666666676
2,7,1,1,1,0,0,0,0,5.82624666666666665e-05,0.575839808315973367,0.575839808315973367,0,0,0.5,0.5,9.07489333333333278e-05,1,1,0,0,0,0,1.57746666666666665e-05,0.692494408586997512,0.692494408586997512,0.371428571428571386,0.336746628790331848,0,0,1.04662666666666667e-05,1,1,0,0,0,0,0.00459598163333333355,0.692494408586997512,0.692494408586997512,0.371428571428571386,0.336746628790331848,0,0,0.00369103699999999988
2,7,2,1,1,0,0,0,0,5.76054333333333359e-05,1,1,0,0,0,0,9.55618000000000038e-05,1,1,0,0,0,0,1.59391666666666681e-05,0.631687449428604442,0.631687449428604442,0.428571428571428548,0.299338206943426499,0,0,1.18963666666666667e-05,1,1,0,0,0,0,0.00854448043333333289,0.631687449428604442,0.631687449428604442,0.428571428571428548,0.299338206943426499,0,0,0.00700460523333333324
2,8,1,1,1,0,0,0,0,5.86579999999999998e-05,0.586329529356495072,0.586329529356495072,0,0,0.5,0.5,0.00583794826666666784,1,1,0,0,0,0,1.62824666666666653e-05,0.66308096724373955,0.66308096724373955,0.345833333333333326,0.4205179836811615,0,0,1.10193999999999999e-05,1,1,0,0,0,0,0.00591723939999999962,0.66308096724373955,0.66308096724373955,0.345833333333333326,0.4205179836811615,0,0,0.00515073780000000012
2,8,2,1,1,0,0,0,0,5.2202466666666667e-05,1,1,0,0,0,0,0.000114204333333333327,1,1,0,0,0,0,1.47344666666666659e-05,0.651385152176965687,0.651385152176965687,0.375,0.281138522259283208,0,0,1.14625999999999993e-05,1,1,0,0,0,0,0.00615152173333333337,0.651385152176965687,0.651385152176965687,0.375,0.281138522259283208,0,0,0.00568026873333333376
2,9,1,1,1,0,0,0,0,2.87000333333333331e-05,0.56151190988877675,0.56151190988877675,0,0,0.5,0.5,0.000128817766666666658,1,1,0,0,0,0,1.48492000000000001e-05,0.701764908343186722,0.701764908343186722,0.366666666666666641,0.358981609458652373,0,0,1.16039999999999994e-05,1,1,0,0,0,0,0.0395292854333333318,0.701764908343186722,0.701764908343186722,0.366666666666666641,0.358981609458652373,0,0,0.00425632150000000015
2,9,2,1,1,0,0,0,0,2.85315999999999997e-05,1,1,0,0,0,0,0.000134329700000000002,1,1,0,0,0,0,1.56311333333333336e-05,0.669402825128187495,0.669402825128187495,0.366666666666666641,0.268132877227873989,0,0,1.20433666666666672e-05,1,1,0,0,0,0,0.0123523566666666664,0.669402825128187495,0.669402825128187495,0.366666666666666641,0.268132877227873989,0,0,0.010274909233333334
2,10,1,1,1,0,0,0,0,2.96257e-05,0.569827597084090698,0.569827597084090698,0,0,0.5,0.5,0.000153022599999999987,1,1,0,0,0,0,1.58122333333333342e-05,0.691005831606730236,0.691005831606730236,0.37666666666666665,0.358380854623316647,0,0,1.26596333333333333e-05,1,1,0,0,0,0,0.00696386903333333362,0.691005831606730236,0.691005831606730236,0.37666666666666665,0.358380854623316647,0,0,0.00476008750000000026
2,10,2,1,1,0,0,0,0,2.88586333333333318e-05,1,1,0,0,0,0,0.000162167499999999989,1,1,0,0,0,0,1.64650666666666659e-05,0.606087780744837379,0.606087780744837379,0.456666666666666665,0.310569506624292502,0,0,1.26437000000000006e-05,1,1,0,0,0,0,0.00414240553333333327,0.606087780744837379,0.606087780744837379,0.456666666666666665,0.310569506624292502,0,0,0.00388508283333333353
3,2,1,1,1,0,0,0,0,2.53386666666666685e-05,0.814230052647530456,0.814230052647530456,0,0,0.66666666666666663,0.66666666666666663,2.97790333333333341e-05,1,1,0,0,0,0,9.87649999999999937e-06,0.956225516523739549,0.956225516523739549,0.0500000000000000097,0.0437744834762604715,0,0,7.4563666666666669e-06,1,1,0,0,0,0,0.00369614186666666683,0.956225516523739549,0.956225516523739549,0.0500000000000000097,0.0437744834762604715,0,0,0.00387927429999999993
3,2,2,1,1,0,0,0,0,3.78741333333333373e-05,1,1,0,0,0.333333333333333315,0.333333333333333315,0.000122777399999999994,1,1,0,0,0.0555555555555555455,0.0542138663705223622,2.34730000000000004e-05,0.75232819420794117,0.75232819420794117,0.200000000000000011,0.183286703353987751,0.0888888888888888784,0.113115191669609219,3.80154333333333286e-05,1,1,0,0,0.0555555555555555455,0.0542138663705223622,0.00455840613333333318,0.75232819420794117,0.75232819420794117,0.200000000000000011,0.183286703353987751,0.0888888888888888784,0.113115191669609219,0.0031976095999999999
3,2,3,1,1,0,0,0,0,5.30167333333333301e-05,1,1,0,0,0,0,4.76209333333333301e-05,1,1,0,0,0,0,1.78716666666666669e-05,0.787943724487627062,0.787943724487627062,0.216666666666666674,0.212056275512372883,0,0,1.45602666666666668e-05,1,1,0,0,0,0,0.00948937229999999993,0.787943724487627062,0.787943724487627062,0.216666666666666674,0.212056275512372883,0,0,0.00942966776666666687
3,3,1,1,1,0,0,0,0,2.68854333333333318e-05,0.630818958710275712,0.630818958710275712,0,0,0.66666666666666663,0.666666666666666741,6.7992633333333337e-05,1,1,0,0,0,0,1.72020333333333324e-05,0.866090149238814999,0.866090149238814999,0.133333333333333331,0.177335839275705509,0,0,1.5057166666666667e-05,1,1,0,0,0,0,0.00380006116666666656,0.866090149238814999,0.866090149238814999,0.133333333333333331,0.177335839275705509,0,0,0.0033698865666666666
3,3,2,0.982169966084436741,0.982169966084436741,0.0777777777777777651,0.233333333333333309,0,0,2.57336666666666672e-05,1,1,0,0,0.333333333333333315,0.333333333333333315,6.36473666666666698e-05,1,1,0,0,0.199999999999999983,0.201412005841426461,1.65990000000000015e-05,0.629360231067625064,0.629360231067625064,0.177777777777777785,0.174810751315089191,0.266666666666666663,0.437903681403700062,1.49893999999999992e-05,1,1,0,0,0.199999999999999983,0.201412005841426461,0.00424168823333333309,0.651816926892468951,0.651816926892468951,0.199999999999999983,0.196727007815435923,0.255555555555555536,0.398991372178535753,0.00324409669999999994
3,3,3,1,1,0,0,0,0,2.70502000000000006e-05,1,1,0,0,0,0,6.73757333333333328e-05,1,1,0,0,0,0,1.7504899999999999e-05,0.714887272841870591,0.714887272841870591,0.355555555555555514,0.262949851739315732,0,0,1.74777666666666672e-05,1,1,0,0,0,0,0.00324647053333333322,0.714887272841870591,0.714887272841870591,0.355555555555555514,0.262949851739315732,0,0,0.00301611490000000017
