n,apmcloss,usmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0,0.25,0,0,0,0
3,0,0.333333333333333315,0.117652152967549092,0.20754647483425348,0.117652152967549092,0.189784510911385595
4,0,0.375,0.0705310705244885094,0.175420202532697689,0.0545057375516534298,0.137786101279868622
5,0,0.400000000000000078,0.16673847957380078,0.310349600443221851,0.156750688972607244,0.305882579042311087
6,0,0.416666666666666685,0.157441817404133322,0.284318150559161487,0.111600900933897115,0.190895710675319935
7,0,0.428571428571428548,0.208556965106826114,0.343157493443471573,0.165967465692238442,0.303743109317336502
8,0,0.4375,0.222806427654282102,0.389270491204133151,0.19735507334546043,0.348682781326175084
9,0,0.44444444444444442,0.250870341818803244,0.422991525550917236,0.208431186106279864,0.378728089662758061
10,0,0.400000000000000022,0.289281876525626647,0.475751660195591564,0.251332108675314525,0.427189096893920706
