n,apmc,usmc,gwmc,gemc,owmc,oemc
5,0,0.800000000000000044,0,0,0,0
6,0,0.83333333333333337,0,0,0,0
7,0,0.857142857142857095,0,0,0,0
8,0,0.875,0,0,0,0
9,0,0.88888888888888884,0,0,0,0
10,0,0.850000000000000089,0.0333333333333333398,0.0516666666666666663,0.0266666666666666684,0.0416666666666666713
