n,aprevenue,usrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
5,1,0.483311563409124956,1,0.861252017482853627,1,0.861252017482853627
6,1,0.432991872348784279,1,0.893504205212442337,1,0.893504205212442337
7,1,0.41358131457535624,1,0.926557206066006667,1,0.926557206066006667
8,1,0.373959665758816895,1,0.935706776325729517,1,0.935706776325729517
9,1,0.362880116354084126,1,0.891266020054506836,1,0.891266020054506836
10,0.980447440367706702,0.430712171687134548,0.997911133720604804,0.878305198460286762,1,0.888244353994161795
