n,aptime,ustime,gwtime,getime,owtime,oetime
5,1.65948666666666659e-05,7.56592999999999957e-05,8.45563333333333254e-06,7.49923333333333354e-06,0.00761642409999999971,0.00738641893333333299
6,1.91470000000000015e-05,8.77953333333333295e-05,9.89376666666666663e-06,8.24063333333333376e-06,0.00765760966666666643,0.00753111380000000014
7,1.73990666666666674e-05,8.91107666666666673e-05,9.10396666666666616e-06,8.11959999999999931e-06,0.00784372633333333368,0.00772454469999999966
8,1.92523666666666654e-05,0.000107294966666666668,1.01954333333333341e-05,9.23606666666666614e-06,0.0080937442333333335,0.00772768776666666636
9,2.04532999999999995e-05,0.0001182649,1.05849999999999995e-05,9.82863333333333278e-06,0.00818310693333333325,0.00783882619999999933
10,2.46329500000000027e-05,0.000128585500000000024,1.32173333333333331e-05,1.1361083333333332e-05,0.00890140899999999902,0.00811241210000000074
