n,apef,usef,gwef,geef,owef,oeef
5,0,0,0,0.220000000000000001,0,0.220000000000000001
6,0,0,0,0.166666666666666685,0,0.166666666666666685
7,0,0,0,0.126666666666666677,0,0.126666666666666677
8,0,0,0,0.113333333333333341,0,0.113333333333333341
9,0,0,0,0.113333333333333341,0,0.113333333333333341
10,0.0433333333333333348,0,0,0.0500000000000000028,0,0.0433333333333333348
