m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.893059824555026638,0.925792943229883369,0.925875554785065891,0.932299241945661383,0.931950861468212266
3,0.817875518722389061,0.855678345246497662,0.834039723319279669,0.866285740267047299,0.846381653509946652
4,0.762015670620345809,0.81213766512981278,0.79167008446437237,0.81555293086493108,0.796402713603702739
5,0.734729862285710689,0.783506250659720127,0.7706924873956843,0.792209205515371995,0.777014875941966054
6,0.702178044690701997,0.750630874394673131,0.754195792513697061,0.788685443591999102,0.782122959125710282
7,0.676256586898047796,0.733507434859441032,0.730172995978714434,0.75996544671945554,0.756272758631625575
8,0.686950590252030868,0.779365835356499947,0.778771850838130497,0.802293779494645087,0.802355582085643615
9,0.652531857552004824,0.763351686479307845,0.763183425319026387,0.78810004404029077,0.785293046223582536
10,0.622275971104032544,0.709735323072758773,0.706247100335332112,0.744145488481155359,0.734772481707972047
