m,spwinners,gwwinners,gewinners,owwinners,oewinners
5,0.525833333333333375,0.526944444444444438,0.526388888888888795,0.52750000000000008,0.524722222222222201
6,0.544444444444444398,0.550000000000000044,0.534027777777777768,0.550000000000000044,0.54166666666666663
7,0.453829365079365055,0.453928571428571459,0.447876984126984179,0.4585912698412698,0.453234126984126962
8,0.424345238095238109,0.420590277777777743,0.431641865079365084,0.448030753968253925,0.443070436507936483
9,0.403581349206349249,0.412227182539682546,0.424634589947089969,0.43206514550264552,0.426532738095238118
10,0.358888888888888868,0.370734126984126944,0.376792328042327984,0.380218253968253928,0.380886243386243384
