m,sptime,gwtime,getime,owtime,oetime
5,0.000155387666666666663,0.0049164793083333342,0.00501466937500000005,0.940621585641666758,0.827077002208333356
6,0.000261998733333333343,0.00749584730000000046,0.00709199625833333361,0.134596424366666689,0.0963317474999999951
7,0.000632131524999999931,0.00854189375833333368,0.00786783007500000027,0.173475506116666678,0.12608295609166667
8,0.000407575720833333317,0.00780279998749999933,0.00697226273750000021,0.232903706962499985,0.174291705987500017
9,0.000491116100000000026,0.00883432081666666452,0.00775465105416666724,0.236631534899999996,0.176536842079166673
10,0.000593950245833333281,0.00994828707083333409,0.00903333204999999875,0.26585028783333331,0.202701753416666658
