m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.530000000000000027,0.122407677273279905,0.127466091444012636,0.194901326857934931,0.199572880337843567
3,0.507777777777777772,0.205965931285203352,0.225716153510831213,0.265902603817609606,0.290339180849491452
4,0.485000000000000042,0.222217169025511502,0.232510619109534855,0.299155927577491931,0.310263735500311444
5,0.493888888888888822,0.299215598200038346,0.309112518261577818,0.336017002935105669,0.356974390984747647
6,0.519259259259259309,0.262949588103110254,0.264301870782414461,0.317690346661219425,0.316180899907002155
7,0.529166666666666674,0.293912695371371047,0.306300544113022988,0.330995894558226422,0.33931012994772225
8,0.540000000000000036,0.235893311832302832,0.237743973677444598,0.251557896824977922,0.252512885749501648
9,0.561666666666666647,0.253666000409954073,0.254763765028778677,0.263073982574198562,0.27403700959661742
10,0.490000000000000047,0.229426866641485289,0.23957113683723974,0.239295388676520782,0.247421556081304117
