m,spef,gwef,geef,owef,oeef
5,0.00499999999999999924,0.0166666666666666699,0.0116666666666666672,0.0200000000000000004,0.0150000000000000012
6,0,0.00694444444444444319,0.0152777777777777773,0.00972222222222222064,0.00694444444444444406
7,0.00238095238095238117,0.00595238095238095379,0.00952380952380952293,0.00952380952380952293,0.0119047619047619041
8,0.00208333333333333374,0.0166666666666666699,0.00729166666666666678,0.0119791666666666657,0.00520833333333333391
9,0.00185185185185185149,0.0138888888888888881,0.0101851851851851843,0.0106481481481481462,0.00972222222222222238
10,0.00333333333333333268,0.0174999999999999982,0.00333333333333333311,0.00916666666666666671,0.00750000000000000059
