m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
5,0.291666666666666685,0.210588469584587518,0.218723527694583086,0.235270071501083283,0.241666666666666669
6,0.299999999999999989,0.221666666666666679,0.235311060490876522,0.225000000000000033,0.256666666666666654
7,0.33333333333333337,0.25166666666666665,0.266666666666666663,0.215000000000000024,0.246666666666666673
8,0.304166666666666696,0.21045943316043858,0.228821828243195746,0.188244813485893031,0.196484443011263998
9,0.289166666666666683,0.217304661536936672,0.240960896422183657,0.194226218081174573,0.200050765845596779
10,0.28999999999999998,0.223039509832584915,0.238810211615233081,0.175997506158112882,0.177555482790112823
