n,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,0.84526526057764173,0.852207416030934084,0.844856764879246214,0.862831383596608936,0.858455110725448556
3,0.838318374433918989,0.837956634101053921,0.840632074153106479,0.860531911929040105,0.853070295507773024
4,0.850015388855322129,0.837680234604919027,0.835242996722805553,0.844450346591286594,0.838611322970763684
5,0.844291108381468258,0.839312622676157694,0.824406230203809653,0.842297489754557427,0.832394811388930456
6,0.839783609136929843,0.852073750321241663,0.834741646623064493,0.845449308500330066,0.830093265672025238
7,0.853899587258448056,0.855934002720029952,0.845776858630573836,0.852885668209647063,0.839751848785003863
8,0.859781121112647262,0.859771342354216039,0.841114630985298151,0.861735729444316645,0.836516092249175669
9,0.850991730717111761,0.857590412971586002,0.845434270517978259,0.864602900426981846,0.840614682308663541
10,0.855624052084571263,0.859167758595374753,0.843519143048128028,0.864662119032069021,0.843873880205556093
