n,sptime,gwtime,getime,owtime,oetime
2,0.000314816738888888919,0.00534521474722222251,0.00501333545277777952,0.143480053916666656,0.125865238805555557
3,0.000431525158333333301,0.00650414621666666609,0.00608282689444444424,0.165567213124999973,0.135727821027777806
4,0.00049748842499999996,0.00831219573749999996,0.00741907255416666793,0.263293797354166692,0.193071745204166673
5,0.000650949633333333319,0.0094126758041666661,0.00820517719583333319,0.23008608098333333,0.173640638904166644
6,0.0022428298208333336,0.0126774687875000017,0.0123398135916666669,0.355925457245833354,0.211737732791666661
7,0.00116448807500000012,0.0113679756916666673,0.00987019797499999983,0.246820985983333324,0.174986380850000012
8,0.000910240391666666641,0.0117367033916666672,0.0105844354916666671,0.248741788166666644,0.184171111199999987
9,0.00104473159166666675,0.0127015418000000005,0.0118819188999999999,0.251226652175000009,0.182347427783333349
10,0.00153923942500000001,0.0145285611166666682,0.0140677791916666659,0.270571331958333328,0.180436097049999994
