n,spef,gwef,geef,owef,oeef
4,0.00583333333333333273,0.0183333333333333369,0.00666666666666666709,0.00916666666666666671,0.00833333333333333495
5,0.0133333333333333359,0.0241666666666666696,0.0149999999999999994,0.0116666666666666672,0.00916666666666666671
6,0.0100000000000000002,0.0241666666666666696,0.0183333333333333334,0.0116666666666666672,0.00583333333333333447
7,0.0079166666666666656,0.0275000000000000036,0.0104166666666666678,0.0120833333333333348,0.00750000000000000146
8,0.00958333333333333433,0.0258333333333333331,0.0133333333333333325,0.00875000000000000083,0.00958333333333333259
9,0.00625000000000000035,0.0229166666666666685,0.0112499999999999996,0.0120833333333333348,0.00541666666666666685
10,0.00277777777777777788,0.0238888888888888901,0.015277777777777779,0.018611111111111113,0.0122222222222222229
