n,spefloss,gwefloss,geefloss,owefloss,oeefloss
4,0.0142965466623337679,0.0428362757057591248,0.0155716859218237788,0.0323224999047394546,0.0333052369202187643
5,0.0237562705340221766,0.0680382695570776741,0.0359164594306070201,0.0299203436136779855,0.024380224259337703
6,0.0227144067291940865,0.0590505948834404715,0.0405493156537223981,0.0364507940374246969,0.00996264027979894273
7,0.0134322427410433261,0.0544013543913422909,0.021437648002349298,0.0362284800239572047,0.0174309191124398868
8,0.0212888640084996396,0.0549309625010224664,0.0305653801345961186,0.0211389693799333353,0.0232366727115477824
9,0.0135140600887146238,0.0379692735819149654,0.0210449009936848376,0.023343574374004028,0.00943683151011615561
10,0.0032461908111186869,0.0418567915163113383,0.0247236959613943846,0.0333827629592591685,0.0204078531552354774
