n,spwinners,gwwinners,gewinners,owwinners,oewinners
4,0.693842592592592511,0.720205026455026376,0.738750000000000018,0.764788359788359795,0.77828042328042335
5,0.706064814814814756,0.718630952380952426,0.743604497354497296,0.763167989417989467,0.765945767195767235
6,0.694391534391534337,0.694421296296296342,0.723571428571428532,0.766097883597883555,0.739140211640211597
7,0.7113409391534391,0.710884589947089918,0.719179894179894252,0.735408399470899421,0.728432539682539626
8,0.674009589947089927,0.687913359788359879,0.681841931216931263,0.704186507936507833,0.696271494708994743
9,0.718640873015872983,0.71688988095238082,0.70762896825396826,0.73018683862433853,0.712154431216931116
10,0.69428240740740732,0.69668209876543219,0.700034171075837874,0.711295194003527365,0.707762345679012417
