n,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.578085329056932995,0.603391037386526663,0.602625598030806398,0.617074906553151004,0.613469796396081457
3,0.570248342201057135,0.603299948554824383,0.601559309667841213,0.617693453911006829,0.614874503016473395
4,0.576531266957523547,0.578885048703093097,0.582928921382100729,0.586767912440608552,0.586347734382254293
5,0.571752330431804734,0.574447275594002882,0.570650445173754961,0.584242058694016242,0.577657612652900943
6,0.583253505793391747,0.587429787490329813,0.579478139630457356,0.595229954647637283,0.591202344548888425
7,0.609697015857531444,0.606130937018348748,0.594789856044885656,0.600224415156328517,0.594889035318796333
8,0.621644855666412255,0.611900119177945512,0.600234194722203629,0.610538707426425686,0.598459522091464358
9,0.619036322706977615,0.608803391442889419,0.605239607660272294,0.609679212391363246,0.603466099900179742
10,0.621510318295195985,0.614472330178096549,0.603074991926005222,0.614056643544935499,0.603217205415811586
