m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,0.913086883688828399,0.947821480775944636,0.941555695851136853,0.954472649493864234,0.944676119363157873
3,0.872447684602884133,0.912624156171226275,0.910369351999669951,0.921906750566449995,0.916218495635657826
4,0.853690166738359846,0.883433273621483495,0.880880048682863181,0.894819424600920454,0.89097077629504895
5,0.847948835812958435,0.869531446572393674,0.867969127075369329,0.882623592138832347,0.881446311081077294
6,0.842342797326298576,0.865783671749471684,0.868543061474023936,0.880458131565770685,0.879656996725675655
7,0.826120865643801716,0.860109727124459322,0.86499615779825656,0.8714294522961612,0.872864383381446118
8,0.824432071887218232,0.842788240931890975,0.84819274421869939,0.86246624591083898,0.860925503514268109
9,0.833292545655488048,0.841459709444093762,0.845417511936080057,0.859901096693340139,0.857784716295202254
