m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.844403258467246842,0.898341375491943039,0.887838136641684206,0.900053742670641865,0.889499034316734383
3,0.737640245654758053,0.803050596447326015,0.798465064702370553,0.807752840352316093,0.803269794035258666
4,0.674223950630806312,0.740926178727559059,0.737802926840537276,0.746463873006380174,0.741965495291948329
5,0.646396516987026049,0.704901370031527419,0.705657338501394782,0.712521717404883348,0.709690586723730754
6,0.620846127898072697,0.688920812860558729,0.69279598993389524,0.702741182532172548,0.701247234660507757
7,0.595180957921033316,0.690661760193513774,0.700698032045990127,0.710251398628184538,0.708601031611166721
8,0.575890303197457154,0.659297623505663011,0.665152773073426351,0.672946787478396535,0.67389660060249823
9,0.56245772136622596,0.649959498632441401,0.655277452516021319,0.659966478267555168,0.658898830004618463
