m,spmc,gwmc,gemc,owmc,oemc
5,0.225999999999999979,0.140000000000000013,0.166000000000000009,0.153999999999999998,0.181999999999999995
6,0.171999999999999986,0.106999999999999984,0.12800000000000003,0.12100000000000001,0.157000000000000028
7,0.220500000000000002,0.159000000000000002,0.192500000000000004,0.162500000000000033,0.187500000000000028
8,0.185999999999999999,0.12750000000000003,0.151000000000000023,0.11799999999999998,0.14499999999999999
9,0.190000000000000002,0.128000000000000003,0.14499999999999999,0.116999999999999993,0.138500000000000012
10,0.258000000000000007,0.211000000000000021,0.223000000000000032,0.204000000000000015,0.200000000000000011
