m,spmc,gwmc,gemc,owmc,oemc
2,0.533000000000000029,0.140500000000000014,0.146499999999999991,0.242499999999999993,0.24975
3,0.479999999999999982,0.188000000000000028,0.200000000000000039,0.267000000000000015,0.279249999999999998
4,0.450000000000000067,0.222749999999999976,0.236499999999999988,0.296250000000000013,0.306999999999999995
5,0.428249999999999964,0.22749999999999998,0.237249999999999989,0.29450000000000004,0.29225000000000001
6,0.404999999999999971,0.213999999999999968,0.218666666666666704,0.277000000000000079,0.282666666666666677
7,0.37049999999999994,0.187,0.186499999999999999,0.279000000000000026,0.276500000000000024
8,0.364999999999999991,0.205500000000000016,0.201000000000000012,0.27200000000000002,0.282000000000000028
9,0.325500000000000012,0.175000000000000017,0.168500000000000039,0.255500000000000005,0.26100000000000001
