m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
5,0.884798532923003478,0.8991251405550027,0.867234895204869627,0.910200283597124349,0.871606064450569762
6,0.896997283686294278,0.908156656351934988,0.873676975939352563,0.912498718165872136,0.871564970498071134
7,0.860963717034700426,0.870222951805872169,0.834378931229367127,0.879498510634526109,0.855739917891824575
8,0.87291219083692928,0.879820101542100552,0.867727139139942483,0.896972170763941534,0.873688974407845209
9,0.872727277072486762,0.879473689705535078,0.862843009256090698,0.892900331295183203,0.862892414534223495
10,0.827075245433542938,0.798583721859424056,0.800153382269938263,0.816624974399004611,0.81565358579666225
