m,evefloss,gwefloss,geefloss,owefloss,oeefloss
5,0,0,0,0,0
6,0,0,0.0111162129750231372,0,0.0111162129750231372
7,0,0,0,0,0
8,0,0.00564483262316030528,0.0208939267391898519,0,0.0146246544183546347
9,0,0.00317188999814740002,0.0259326756486394638,0,0.0274215452651418862
10,0,0.00197455187504743095,0.0319388990460734851,0,0.0177208312375902836
