m,evef,gwef,geef,owef,oeef
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.00277777777777777832,0,0
5,0,0.00222222222222222265,0.00222222222222222265,0,0
6,0,0.00185185185185185171,0,0,0
7,0,0,0.00634920634920634833,0,0.00158730158730158773
8,0,0,0.00138888888888888916,0,0
9,0,0,0.00246913580246913619,0,0
10,0,0.00111111111111111198,0.00444444444444444444,0,0
