m,evefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.00203908730343499043,0,0
5,0,2.22693839946060368e-06,2.22693839946060368e-06,0,0
6,0,0.00360419155191611532,0,0,0
7,0,0,0.0208421518561772677,0,0.0100297604265165343
8,0,0,0.00444972357410964962,0,0
9,0,0,0.00563870362471669776,0,0
10,0,0.000511709456596461327,0.0198939904325758088,0,0
