m,spef,gwef,geef,owef,oeef
2,0,0.0296874999999999986,0.0296874999999999986,0.0206249999999999975,0.0231250000000000032
3,0.00291666666666666637,0.0214583333333333327,0.0164583333333333352,0.00958333333333333259,0.00854166666666666442
4,0.00328124999999999901,0.0128124999999999975,0.00968749999999999646,0.00406250000000000274,0.00328124999999999988
5,0.00312499999999999931,0.0091249999999999977,0.0068749999999999983,0.00162499999999999884,0.00149999999999999938
6,0.00302083333333333284,0.00822916666666666588,0.00447916666666666602,0.00114583333333333334,0.000937499999999998881
7,0.0032142857142857138,0.00928571428571428603,0.00526785714285714357,0.000714285714285714502,0.000535714285714285958
8,0.00343749999999999958,0.00640624999999999962,0.00343749999999999915,0.000781249999999999718,0.000546874999999999944
9,0.00180555555555555677,0.00576388888888888784,0.00229166666666666755,0,6.94444444444445121e-05
10,0.00341666666666666811,0.00683333333333333275,0.00383333333333333139,0.000249999999999999843,0.000166666666666666553
11,0.00257575757575757543,0.0081818181818181842,0.00280303030303030373,0.000151515151515151325,0
12,0.00250000000000000005,0.0063194444444444435,0.00187499999999999993,0,0
13,0.00269230769230769176,0.00666666666666666709,0.00198717948717948723,6.41025641025639399e-05,0
14,0.0029464285714285712,0.00848214285714285823,0.00160714285714285625,0.000178571428571428409,0.000178571428571428653
15,0.00291666666666666637,0.00866666666666666974,0.00233333333333333396,0.000166666666666666634,0
16,0.00359374999999999929,0.0059374999999999992,0.00296874999999999917,0,0
17,0.00301470588235294148,0.00720588235294117568,0.00249999999999999875,0,7.3529411764705632e-05
18,0.00340277777777777801,0.00638888888888888926,0.00187500000000000058,0,0
