n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,3,0.5,3,0.999683343521085,0.182081999999989,0.888636550000001,0,0,0.994660926786867,2.9533178,5.08821407,0.02,0.03,0.994344270307952,2.9507503,0.62484677,0.00999999999999999,0.04,0.994344270307952,2.9127273,0.51917132,0.00999999999999999,0.02,0.992494253375335,2.9377381,0.41780387,0.00999999999999999,0.05
2,3,0.5,4,1,0.082405999999995,0.60477552,0,0,0.998103991857466,2.5540466,3.49365404,0,0.04,0.998103991857466,2.5540475,0.36302303,0,0.01,0.998103991857466,2.5540469,0.69575318,0,0.01,0.998103991857466,2.5540472,0.56688552,0,0.04
2,3,0.75,1,0.923321724545997,1.87305299999985,2.36658431,0,0.01,0.8817249423536,11.634165,43.64881696,0.01,0.24,0.875523736942238,11.7383948,2.29789955,0.01,0.18,0.863794986580009,11.1594399,2.60015228,0.02,0.24,0.847431974436804,11.1861468,1.86948528,0.02,0.32
2,3,0.75,2,0.981760770461151,1.41183899999993,3.73336485,0,0.08,0.972243010825249,7.9588607,21.18648658,0.08,0.18,0.960568827004856,7.9316891,1.20481433,0.05,0.17,0.945078936651029,7.7020794,1.61792631,0.07,0.16,0.950439837784497,7.6866201,1.1758514,0.07,0.28
2,3,0.75,3,0.996392999159521,0.627059999999955,1.94464657,0,0.03,0.997994130557932,5.0100941,8.3364428,0.02,0.18,0.994387129717453,4.9934663,1.02345378,0,0.15,0.98236879840424,4.867882,0.71219143,0,0.17,0.983913211714002,4.8710633,0.66617835,0,0.22
2,3,0.75,4,1,0.324941999999978,1.14156525,0,0,0.997724267985834,4.3891918,7.02862031,0,0.13,0.997724267985834,4.389193,0.73859004,0,0.11,0.994879066445148,4.3647514,0.83518096,0,0.07,0.997724267985834,4.3891918,0.80349544,0,0.18
2,3,1,1,0.819333212132893,4.40129999999967,5.11048746,0,0,0.878712604097511,10.8442794,39.33749403,0,0.37,0.86986646674328,10.9142471,2.23932541,0,0.27,0.865715831613714,10.8986278,2.29823033,0,0.17,0.86986646674328,10.9142471,2.53810082,0,0.35
2,3,1,2,0.947854557649182,2.50668799999982,5.13195333,0,0.33,0.973607259239951,8.2294172,18.47820229,0.22,0.3,0.923236349148877,7.9717105,1.32671392,0.04,0.36,0.923236349148877,7.9717099,1.29121407,0.06,0.29,0.923236349148877,7.9717107,1.389882,0.03,0.55
2,3,1,3,0.979389700562156,2.12278999999988,5.29694024,0,0.14,0.989605595026027,7.0510831,12.75625142,0.09,0.26,0.966195453099463,6.9378812,0.9882218,0.03,0.38,0.966195453099463,6.9378796,1.3772253,0.0599999999999999,0.21,0.966195453099463,6.9378809,0.96662859,0.01,0.48
2,3,1,4,0.994223714010912,0.637397999999964,1.52890519,0,0.08,1,5.152177,10.62746012,0.04,0.25,0.994223714010912,5.1150335,0.96401919,0,0.3,0.994223714010912,5.1150335,1.3253379,0.01,0.13,0.994223714010912,5.1150349,0.81591647,0,0.45
2,4,0.25,1,0.972588687498962,0.929470000000005,2.41219689,0,0,0.959054005943768,6.7297532,18.60666819,0.05,0.13,0.947956492918021,6.6698213,1.01595731,0,0.1,0.943770753169845,6.4498805,1.04219386,0.00999999999999999,0.12,0.940765767370807,6.5739147,0.98129635,0.01,0.13
2,4,0.25,2,0.989986108132393,0.426439999999981,1.2821094,0,0,1,4.492627,6.19337373,0.04,0,0.995408266496486,4.4744664,0.74755922,0.01,0.00999999999999999,0.991820097406019,4.400641,0.95457097,0.02,0.00999999999999999,0.987354095153918,4.386999,0.55164389,0.01,0.04
2,4,0.25,3,1,0.184413999999984,0.82261401,0,0,1,1.6196778,2.16616889,0,0,1,1.6196778,0.29851559,0,0,1,1.6196778,0.22902506,0,0,1,1.6196778,0.22689932,0,0
2,4,0.25,4,1,0.0275849999999978,0.49275524,0,0,1,1.7320079,2.1628743,0,0,1,1.7320079,0.19819573,0,0.01,1,1.7320079,0.2987576,0,0,1,1.7320079,0.19751351,0,0.01
2,4,0.5,1,0.944837954373495,2.44631899999979,4.52273062,0,0,0.914529868544739,11.9990644,39.36474763,0.09,0.19,0.881300202775468,11.9183855,1.93509641,0.02,0.17,0.890349490965714,11.5968237,2.12367814,0.00999999999999999,0.21,0.889910032969312,11.8895042,1.96280539,0.02,0.25
2,4,0.5,2,0.974554502296931,1.93600499999984,4.05158232,0,0.02,0.981628519736182,7.9408568,17.58876073,0.08,0.09,0.966846628606653,7.7408251,0.88998273,0.05,0.08,0.952725002671215,7.3690239,0.97140335,0.03,0.11,0.964089764604901,7.7784358,1.3706928,0.02,0.09
2,4,0.5,3,0.99642748977751,0.615866999999953,1.81558028,0,0.02,0.991931604823398,5.2428911,8.32536906,0.04,0.06,0.988359094600908,5.225518,0.75805908,0,0.05,0.979854725251099,5.0668985,0.86997936,0,0.07,0.981846145032094,5.173609,0.63061595,0,0.08
2,4,0.5,4,0.989921760259844,0.583284999999992,1.6381164,0,0.02,0.995113187131163,4.019912,7.00632378,0.04,0.0799999999999999,0.987108236272143,3.9848014,1.27400294,0.03,0.0599999999999999,0.987775278516862,3.971091,0.5875482,0.00999999999999999,0.05,0.978890042686653,3.9176319,0.46244082,0.00999999999999999,0.11
2,4,0.75,1,0.913694101800184,3.86003699999975,6.03347729,0,0,0.845800947976673,13.6039767,55.01989078,0.03,0.25,0.832329503066463,13.5157402,2.2615423,0.00999999999999999,0.17,0.820875028260959,12.9697144,2.34198122,0.03,0.27,0.824599512928968,13.166476,2.3576465,0,0.3
2,4,0.75,2,0.953757724321005,4.52009899999964,7.52661511,0,0.11,0.956486744940018,11.14024,31.22126311,0.17,0.19,0.940215429053976,11.2470245,1.38850058,0.07,0.1,0.915960649875587,10.4814191,1.49657118,0.05,0.18,0.925393057069387,10.8653215,1.40911126,0.03,0.27
2,4,0.75,3,0.952968948716714,2.09376599999984,4.08405884,0,0.12,0.957818805206792,8.5407348,17.04378166,0.09,0.18,0.931367920066011,8.3695735,1.13639555,0.04,0.23,0.92087476787141,8.1651865,1.22884663,0.05,0.18,0.921746807772759,8.2651883,1.30203452,0.04,0.31
2,4,0.75,4,0.971058608881173,1.34543999999991,3.43851288,0,0.11,0.986124517457226,6.546803,16.42437104,0.07,0.12,0.965115918228623,6.4784658,0.84926907,0.02,0.16,0.951828827528532,6.1810621,0.96320714,0.03,0.17,0.953632319220175,6.3313847,0.82185095,0.03,0.23
2,4,1,1,0.855234977674427,5.96048399999962,8.99166119,0,0,0.867714449565451,14.1411249,59.70400972,0,0.25,0.867834567458339,14.1321351,3.05347446,0,0.32,0.866259868897695,14.1322289,2.890538,0,0.2,0.8758503475272,14.1089395,2.8895494,0,0.26
2,4,1,2,0.945373317819812,6.25893799999952,11.24162709,0,0.09,0.947464848085853,10.596108,28.31257507,0.3,0.17,0.910059163653257,10.3688861,1.57770129,0.07,0.24,0.910059163653257,10.3688861,1.82737484,0.07,0.17,0.910059163653257,10.3688861,1.9135829,0.04,0.27
