n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,3,0.25,4,1,0,0.0749008699999999,0,0,0.980925443219832,62.1918928,3.11271162,0,0.17,0.984923025927009,62.7878942,0.82728053,0,0.12,0.982511294195197,62.3443074,0.90853284,0,0.12,0.978713549525011,61.9112656,0.65970785,0,0.2
2,3,0.5,1,0.972391620608411,10.3436929999975,7.06024372,0,0,0.947742760398232,86.7987006,10.5486437,0.04,0.16,0.940743861598504,86.2393321,1.09147795,0,0.12,0.944731475758619,85.3541613,1.18527507,0,0.09,0.905463686765334,82.6033016,1.69697819,0.00999999999999999,0.31
2,3,0.5,2,1,6.5e-05,0.08353423,0,0,0.935576367632548,95.3536662,7.9053696,0,0.33,0.95358100631861,97.9745776,1.49022606,0,0.17,0.935587276762984,93.9520483,1.33953084,0,0.26,0.931212531039636,94.4110004,1.23387992,0,0.46
2,3,0.5,3,1,1.6e-05,0.08371048,0,0,0.913830064837609,95.8928896,5.97300937,0,0.41,0.925867135982581,99.4909892,1.37013704,0,0.27,0.924001491845241,97.7040373,1.39967151,0,0.31,0.916194781817703,95.5031692,1.53514421,0,0.49
2,3,0.5,4,1,1.1e-05,0.0821840900000001,0,0,0.902365587451526,95.0476213,5.66901816,0,0.53,0.918654893829461,99.6604364,1.31166732,0,0.37,0.908692872222805,96.935543,1.26355529,0,0.41,0.904444058383191,96.7420589,1.88530381,0,0.57
2,3,0.75,1,0.942220778811541,17.4730899999988,9.2973331,0,0,0.90047770014076,108.2583757,18.1934424,0,0.26,0.88922061036961,108.3631652,1.74208037,0.01,0.2,0.89176668000567,104.1113568,2.09764227,0,0.2,0.836851919647456,102.5673458,1.42451238,0.02,0.48
2,3,0.75,2,1,0.000206,0.08906627,0,0,0.884008034762353,101.8387225,11.86631935,0,0.48,0.902900228401887,106.4878626,1.87113127,0,0.22,0.880729427935809,99.7835982,1.74223762,0,0.31,0.86903312767524,100.8447838,1.43533948,0,0.59
2,3,0.75,3,1,6.9e-05,0.08625075,0,0,0.88427018646435,104.2526428,9.52939747,0,0.44,0.887018338056555,107.6785885,2.15235424,0,0.38,0.882896560600043,106.547292,1.63998663,0,0.44,0.882229958655534,104.1460521,1.47504069,0,0.66
2,3,0.75,4,1,5.3e-05,0.0823258800000001,0,0,0.890552327048828,100.6808158,7.74639883,0,0.51,0.904814557258881,103.9546973,1.46719679,0,0.39,0.90134427538798,101.8037916,1.75202649,0,0.45,0.880332415064727,98.576688,1.65175536,0,0.77
2,3,1,1,0.874644788505447,37.0847329999985,17.21011061,0,0,0.858386469750386,106.8648483,19.9274982,0,0.39,0.858359079291221,105.6882054,1.88917979,0,0.36,0.858387568378117,104.9764038,1.83280095,0,0.25,0.85745354887375,106.8642276,2.43214827,0,0.4
2,3,1,2,1,0.000338,0.10100917,0,0,0.883105371641078,100.2153096,24.0321181,0,0.52,0.875942448185189,104.9237472,1.62449726,0,0.72,0.879952285604731,104.8516895,2.10875856,0,0.5,0.87807455393186,104.7939515,1.56125095,0,0.76
2,3,1,3,1,0.000145,0.0870157800000001,0,0,0.872614745928479,104.0920041,10.01975358,0,0.42,0.871275956099822,104.7252048,1.71123885,0,0.95,0.871275956099822,104.7252048,1.89678531,0,0.87,0.871275956099822,104.7252048,1.62004012,0,0.64
