n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
2,11,1,1,165.977100000012,31.51094907,0,0,1,183.7021263,0.37577788,0,0,1,183.7021263,0.024673,0,0
2,12,0.25,1,86.6939000000009,11.22797046,0,0,0.998514074231416,144.7494282,0.2521798,0,0.07,1,144.6168368,0.02693758,0,0
2,12,0.5,0.999999601261407,142.994100000005,21.18299205,0,0,1,171.1981178,0.30707115,0,0,1,171.1981178,0.02621042,0,0
2,12,0.75,1,157.478700000009,27.12246813,0,0,1,180.1789679,0.33999785,0,0,1,180.1789679,0.02706116,0,0
2,12,1,1,170.772100000014,33.34859673,0,0,1,184.4028991,0.3615705,0,0,1,184.4028991,0.02911323,0,0
2,13,0.25,1,95.9728000000009,13.14302502,0,0,1,145.5055631,0.24720674,0,0.01,1,145.5055631,0.02275236,0,0
2,13,0.5,1,138.668200000004,22.14667519,0,0,1,167.3502169,0.3046516,0,0,1,167.3502169,0.02292491,0,0
2,13,0.75,1,161.56240000001,28.79414106,0,0,1,180.3226094,0.32245952,0,0,1,180.3226094,0.025938,0,0
2,13,1,1,173.794500000015,43.14446366,0,0,1,187.242251,0.35656531,0,0,1,187.242251,0.02518444,0,0
2,14,0.25,1,94.7204000000019,13.87917751,0,0,0.995457789691039,144.9008658,0.25819218,0,0.06,1,144.796414,0.0601731,0,0
2,14,0.5,1,142.210500000006,27.13587484,0,0,1,170.8713053,0.33025152,0,0,1,170.8713053,0.03369513,0,0
2,14,0.75,1,162.00520000001,31.62676562,0,0,1,179.9708173,0.34277706,0,0,1,179.9708173,0.03094665,0,0
2,14,1,1,173.630300000015,40.9413845,0,0,1,187.2718539,0.35922437,0,0,1,187.2718539,0.0334157,0,0
2,15,0.25,1,108.232100000002,15.81738186,0,0,1,153.0275449,0.26816686,0,0.02,1,153.0275449,0.02813325,0,0
2,15,0.5,1,149.096500000006,26.23021774,0,0,1,173.1926839,0.31667906,0,0,1,173.1926839,0.02820458,0,0
2,15,0.75,1,166.391100000012,35.16135391,0,0,1,182.4087321,0.34572181,0,0,1,182.4087321,0.03015673,0,0
2,15,1,1,174.542100000016,43.30606653,0,0,1,187.775037,0.36098599,0,0,1,187.775037,0.02913201,0,0
2,16,0.25,1,105.706600000002,16.18901304,0,0,1,152.6754143,0.23823287,0,0.04,1,152.6754143,0.05669539,0,0
2,16,0.5,1,152.672800000008,28.46596696,0,0,1,174.7631475,0.33067543,0,0,1,174.7631475,0.03171001,0,0
2,16,0.75,1,167.617100000012,44.68707197,0,0,1,183.7415143,0.3664479,0,0,1,183.7415143,0.02844344,0,0
2,16,1,1,175.423400000016,47.9575969,0,0,1,187.2877485,0.37016786,0,0,1,187.2877485,0.02723919,0,0
2,17,0.25,1,114.717400000002,21.27296849,0,0,1,155.4706951,0.30444761,0,0.01,1,155.4706951,0.02918509,0,0
2,17,0.5,1,155.022600000008,30.23097938,0,0,1,176.9185522,0.3534182,0,0,1,176.9185522,0.02988779,0,0
2,17,0.75,1,170.801100000014,41.50526146,0,0,1,186.1562202,0.35288297,0,0,1,186.1562202,0.0298494,0,0
2,17,1,1,176.035400000016,57.0544812,0,0,1,188.9949383,0.38436488,0,0,1,188.9949383,0.02960902,0,0
2,18,0.25,1,114.046800000003,18.51176862,0,0,0.999351036068787,152.5889792,0.28564648,0,0.01,1,152.4470954,0.02723643,0,0
2,18,0.5,1,154.104400000008,31.79292252,0,0,1,178.0346174,0.33758887,0,0,1,178.0346174,0.02519839,0,0
2,18,0.75,1,172.429500000015,43.94834485,0,0,1,185.9498486,0.38482646,0,0,1,185.9498486,0.02830233,0,0
2,18,1,1,179.791000000018,60.63587641,0,0,1,190.2043774,0.36133376,0,0,1,190.2043774,0.02657574,0,0
2,19,0.25,1,119.696600000002,20.4754611,0,0,1,157.1759073,0.28729622,0,0,1,157.1759073,0.03081745,0,0
2,19,0.5,1,158.310400000009,33.03381404,0,0,1,179.867547,0.36654213,0,0,1,179.867547,0.02731539,0,0
2,19,0.75,1,173.016600000015,47.29348332,0,0,1,186.9120193,0.38526853,0,0,1,186.9120193,0.03092502,0,0
2,19,1,1,180.171100000018,69.82596618,0,0,1,190.8222847,0.40262946,0,0,1,190.8222847,0.0336881,0,0
2,20,0.25,1,122.701400000004,20.91448815,0,0,1,160.5659846,0.26736571,0,0.01,1,160.5659846,0.05327918,0,0
