n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,8,1,1,134.3786,14.2909202,0,0,0.997623063964981,155.3151476,0.18220273,0,0.01,1,154.9542966,0.02191047,0,0,0.997623063964981,155.3151476,5.69425732,0,0.01
2,9,0.25,1,66.4345000000005,7.07026769,0,0,0.993795122880053,128.7754056,0.16195005,0,0.13,1,127.8180319,0.02239292,0,0,0.993795122880053,128.7754056,5.41919156,0,0.13
2,9,0.5,1,111.8079,11.92764768,0,0,0.994734194240622,154.4929946,0.18922164,0,0.02,1,154.0021592,0.02196103,0,0,0.994734194240622,154.4929946,5.68851807000001,0,0.02
2,9,0.75,1,138.366600000003,15.78231871,0,0,1,161.5503915,0.19157128,0,0,1,161.5503915,0.02061737,0,0,1,161.5503915,5.64160162,0,0
2,9,1,1,142.161600000003,15.62006143,0,0,1,160.9869834,0.18995949,0,0,1,160.9869834,0.02083631,0,0,1,160.9869834,6.13029737,0,0
2,10,0.25,1,71.4417000000007,7.92981742,0,0,0.996916087098112,132.9427224,0.17015589,0,0.06,1,132.8914089,0.02264324,0,0,0.996916087098112,132.9427224,5.38410563,0,0.06
2,10,0.5,1,116.3363,14.37917851,0,0,0.997043336221706,151.5504752,0.18585615,0,0.01,1,151.4318932,0.02321526,0,0,0.997043336221706,151.5504752,5.68011853,0,0.01
2,10,0.75,1,137.538400000002,17.59220866,0,0,1,162.4990998,0.18855901,0,0,1,162.4990998,0.02340638,0,0,1,162.4990998,5.63671875,0,0
2,10,1,1,151.256500000006,20.86430052,0,0,1,168.8375996,0.19077195,0,0,1,168.8375996,0.0220219,0,0,1,168.8375996,5.78761051,0,0
2,11,0.25,1,75.2357000000002,8.17855059,0,0,0.999100647830549,132.5193071,0.20268279,0,0.06,1,131.680272,0.02346143,0,0,0.999100647830549,132.5193071,5.47560019,0,0.06
2,11,0.5,1,122.398100000001,14.39862942,0,0,1,161.3294703,0.18103787,0,0,1,161.3294703,0.02318144,0,0,1,161.3294703,5.47554922,0,0
2,11,0.75,1,150.001200000005,21.3848084,0,0,0.996721024966121,170.559176,0.19635056,0,0.01,1,170.536269,0.02323466,0,0,0.996721024966121,170.559176,5.7546584,0,0.01
2,11,1,1,156.324400000007,23.72110651,0,0,1,172.6087954,0.20275589,0,0,1,172.6087954,0.02231039,0,0,1,172.6087954,5.64010488,0,0
2,12,0.25,1,88.6157000000006,9.66848506,0,0,0.99710415399669,139.0028774,0.17365747,0,0.03,1,138.8547278,0.02204904,0,0,0.99710415399669,139.0028774,5.58720544,0,0.03
2,12,0.5,1,127.001700000003,17.88000439,0,0,1,160.7341734,0.19674262,0,0,1,160.7341734,0.02217957,0,0,1,160.7341734,5.58228146,0,0
