m,evtime,gwtime,getime,owtime,oetime
2,-1.00000000000000006e-09,0.00170703362222222204,0.00157846348888888879,0.0621902750222222203,0.0837025301000000055
3,-1.00000000000000006e-09,0.00264333835555555577,0.00266417326666666676,0.121347318122222214,0.116041459488888887
4,-1.00000000000000006e-09,0.00370991307777777815,0.00388048402222222191,0.149157794011111094,0.160058739511111131
5,-1.00000000000000006e-09,0.00494590027777777781,0.00525737377777777803,0.19105867061111112,0.1936393557111111
6,-1.00000000000000006e-09,0.00634302990000000077,0.00691572271111111098,0.365877361844444415,0.208898767688888903
7,-1.00000000000000006e-09,0.0078958154222222212,0.00928848447777777877,0.281355880422222204,0.266473235133333319
8,-1.00000000000000006e-09,0.00934509347777777791,0.0104231127333333316,0.387167407233333316,0.288030999377777819
9,-1.00000000000000006e-09,0.0109699008555555564,0.0124132766444444431,0.371925763888888872,0.520290401344444486
10,-1.00000000000000006e-09,0.0126004725444444441,0.0142227154444444451,0.372986470444444496,0.359671063455555551
