m,evef,gwef,geef,owef,oeef
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0.00476190476190476233,0,0.00476190476190476233
8,0,0.0125000000000000007,0.0187500000000000028,0,0.0125000000000000007
9,0,0.00925925925925926048,0.0259259259259259217,0,0.00740740740740740596
10,0,0.00833333333333333495,0.0233333333333333309,0,0.0166666666666666699
