m,evefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.00212710865560813501,0,0
5,0,0,0.00652263812924227995,0,0
6,0,0,0,0,0
7,0,0,0.0149202625991701841,0,0.00229809914716826201
8,0,0.00139960707772791653,0.0121962443662517253,0,0
9,0,0.00458000774213378637,0.0208615625272139116,0,0
10,0,0.00718118141672220104,0.0127709590652680654,0,2.81738493406033748e-05
