m,evefloss,gwefloss,geefloss,owefloss,oeefloss
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0.0191781643799835699,0,0.0191781643799835699
8,0,0.0110039855181689478,0.043398738094534553,0,0.0228846151969911184
9,0,0.0121800874979059951,0.0399100631996410771,0,0.00969026720952004608
10,0,0.00999200183603293074,0.0347440389577106101,0,0.0305581887857292074
