m,evef,gwef,geef,owef,oeef
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.00277777777777777788,0,0
5,0,0,0.00444444444444444444,0,0
6,0,0,0,0,0
7,0,0,0.00634920634920634833,0,0.00158730158730158752
8,0,0.00138888888888888894,0.00416666666666666661,0,0
9,0,0.00370370370370370385,0.00740740740740740682,0,0
10,0,0.00333333333333333181,0.00666666666666666709,0,0.00111111111111111133
