m,evrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.811131514642225659,0.883733879565039349,0.871105386965343009,0.907845232483402653,0.907845232483402653
3,0.739979339473495923,0.819828694904842004,0.80475107636753862,0.862235212693830078,0.861089096172297119
4,0.700001336660356355,0.780392459548312267,0.776850742013334705,0.811413468283699313,0.808315738455670174
5,0.68447202240524907,0.756580517136247077,0.742844955938906648,0.784484035218931397,0.78758841461794582
6,0.658138444431105918,0.732055865717934906,0.715222835521490574,0.745980166535981204,0.746124118742095721
7,0.647969978844536332,0.704633146289761592,0.682955639251415447,0.715079315243856262,0.714387985931226766
8,0.647322086803502006,0.684603657012274547,0.666370805946375433,0.698603182531956968,0.698480621732203488
9,0.620692016058359441,0.652723611880271171,0.638804051564951791,0.674146350541291906,0.675169893816271682
10,0.622714172357872964,0.644316800788980015,0.639461578894988336,0.667596693680410525,0.667480103201324781
