m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
16,0.877136976626065601,0.871838307032787085,0.90046085272137355,0.999512904937946312,0.964475153231029281
17,0.843944825993946379,0.878039189815901122,0.870236403552272164,0.999580017895556172,0.948603960998978812
18,0.867595466454884501,0.871345781311472889,0.854625712908031243,0.999474090457619591,0.954289990656848275
19,0.878117325778179802,0.850462554228470724,0.867769134851135271,0.999508755728384934,0.940673785053543821
20,0.883569018004645379,0.879839874118131804,0.879827259354705848,0.999418275674282652,0.967166914261578303
21,0.871645447750698521,0.901865979280476515,0.880975862435061652,0.999492198244968599,0.950352140480323904
22,0.863190519345609308,0.912376236836908716,0.8788396641269548,0.99947447230513542,0.956424045409965173
23,0.876247852284442241,0.916339003397015461,0.887874598271620075,0.999428660301220906,0.946428962377261596
24,0.877233286103852206,0.918526845273271664,0.866354096328275314,0.99938771915141178,0.956758049599663041
25,0.894068995392401811,0.933200555578156066,0.903725965384916896,0.999384766992822748,0.963792494734093119
26,0.886879718364230962,0.928319567230055487,0.891974055186406156,0.999353445279241748,0.951326357394446154
27,0.907045831749029974,0.956293714457757349,0.897244384535473727,0.999402376212965793,0.955857044276509971
28,0.915170542377538365,0.950706145736268882,0.9057373072069691,0.999338070873634132,0.956655307929899279
29,0.887569890224172653,0.955074726153625431,0.901621491124708463,0.999260020777846814,0.955749697157995515
30,0.909290625565920774,0.964845953129061962,0.891396640620724323,0.999332918694124106,0.95666752982625014
31,0.896528293719763614,0.963321530666929049,0.903508579788990907,0.999301858912000518,0.962713457517256455
32,0.896712398644613384,0.969152344030393187,0.921982813117325994,0.999321850955001589,0.966021113553342747
33,0.901322102431371674,0.972506659006825203,0.902363094297511159,0.999229992836956349,0.962747487736877128
34,0.915531205807777693,0.978795841691619262,0.916515712110673952,0.999253886259479529,0.967240307089333062
35,0.919040658192449955,0.964676855787129695,0.913643611330707706,0.999208830534765613,0.962437788643192627
36,0.914122924485771149,0.97683233826590854,0.919168030182828444,0.999169960080238839,0.976455050271363922
37,0.920456149901914267,0.979046643032187913,0.921976871771141071,0.999173712000729908,0.969124670937884458
38,0.909168049907043252,0.981246252710514022,0.899667708485486384,0.999122021932497439,0.963644489027150497
39,0.930787328115082246,0.98304194976062631,0.929403776240669055,0.999129646099947144,0.96886277024570755
40,0.930362758320731009,0.981971991269384392,0.929079125379639992,0.99911118200217397,0.97091405377664175
41,0.915986985411713417,0.978439074894420169,0.919461122822199606,0.999089915505286807,0.967454723240002146
42,0.926872825459980287,0.984624692994218176,0.92036831987870249,0.999074242784845801,0.971339988632111018
43,0.923776773367547377,0.982012762786092175,0.926029670988378628,0.999113896984475947,0.976067916796682367
44,0.930202207707409245,0.986909963444963845,0.936472998515560429,0.999034909891274192,0.971304696517053312
45,0.922984801642751429,0.981980917546112608,0.941545070395352068,0.999081994058746314,0.974886348420419213
46,0.929173619665031425,0.988143151810132347,0.924933775885869336,0.998955582651005258,0.975761760976362802
47,0.939999114155592008,0.985478575256904521,0.939232059299655142,0.999064359425762771,0.970284824998168371
48,0.923640859275187132,0.986835206486166072,0.936941782767320763,0.99893329658059804,0.973936272955218896
49,0.934432143957464767,0.98300692892054542,0.939127198787913509,0.99893881735109058,0.975924757246199315
50,0.924479577336314251,0.984823632211690114,0.927435512383261385,0.998925350868261175,0.976220250688577207
51,0.923115690823176793,0.98911666287871558,0.913944901728408476,0.998988262854173081,0.973436281668294878
52,0.94076900262293317,0.987678621151570124,0.932802756701157088,0.998966284167473795,0.976814076953193333
53,0.939235292633198493,0.986530281977982981,0.934528610934978632,0.998886331656547499,0.977530895556238288
54,0.936202207618041182,0.987165563895409881,0.9314340033029751,0.998839001652315761,0.97507268042591011
55,0.93278553537679243,0.986667794571392531,0.941604132598859889,0.998899505902146156,0.970490931547785429
56,0.9430514543951386,0.984748504761715715,0.942830309945152378,0.998907303815038006,0.976603900735723562
57,0.938490172221043251,0.987641510365716679,0.930105186158031172,0.998933261580969956,0.977057527594320296
58,0.92764632595533747,0.987866796910375822,0.937164053179542544,0.998816054472920656,0.971901123803226463
59,0.946097050368604586,0.987803068076083646,0.948032013360194603,0.99887841106433839,0.980558558148719617
60,0.93758266816939273,0.987608800930873776,0.940020407902144028,0.99881599042997482,0.978064067346630872
61,0.943291538478609692,0.988118785701990632,0.948253091145194293,0.998704970177326845,0.981850364301581902
62,0.943978562088631068,0.989696748384297775,0.944596276153995662,0.998783224211530984,0.979383779296247647
63,0.946530558538213107,0.988120822251085551,0.959413008677169499,0.99871405163586513,0.977674942832936211
64,0.941054565380193386,0.989422474252863338,0.946487779780711636,0.998820251097493728,0.977975117799937621
65,0.938665225426352556,0.989762952786831685,0.955013237731583642,0.998799942987307787,0.97509416956809869
