m,spefloss,gwefloss,geefloss,owefloss,oeefloss
16,8.43257764607027981e-05,0.00698534793242840211,0.00594364883935904944,0.00116853396538595415,0.000385528179780460591
17,0.000170201460690707729,0.0013188481557690685,0.0194590965337945801,0.00146611850383604947,0.000188046235254617743
18,0.000179959394655957995,0.00159772917642222946,0.00528819905374017327,0.00144116023301215593,0.00453153405299487784
19,0.000244509143478557173,0.00142315073208685965,0.000261177639624342122,0.00152245411036123178,0.00041525757734169386
20,0.000226734291604026327,0.0184284812897472783,0.000312953947029076616,0.0014562696305270718,0.000220099749944114697
21,0.000199014869624332467,0.0154421325024030418,0.000237284681870111169,0.00124082308890726962,0.000317005292960826095
22,0.000293351495657092319,0.0012232120266165642,0.000233637233182785688,0.00117147522498926089,0.000308877508968860809
23,0.000225104427580035511,0.00119756179766929215,0.000207792221429850115,0.000755025223080200785,0.000227970246631010673
24,0.000199047703089254318,0.00132710349624123782,0.000268777469753131079,0.00145239051269987715,0.000288508298585331898
25,0.000195267872645917467,0.00113266236588137055,0.0102919110993559392,0.000586050961513785869,0.00041144378437055467
26,0.000247757690078101141,0.00120972002881583694,0.00372967617741233777,0.000610976372127207358,0.000376206020967597256
27,0.000239423920411914953,0.000967639268542197116,0.000216402311327893213,0.000686535537341193404,0.00025525391148503284
28,0.000307818340257836514,0.00113489605191768633,0.000278157887038547392,0.000811469613598499477,0.00015285492813229938
29,0.000243783428717975502,0.00125917313116257986,0.00029134695771548336,0.000540040278177236115,0.000188741371365149001
30,0.00020794663509329572,0.00104240973110172191,0.00023002998964637928,0.000538834110319629379,0.0002339411169420793
31,0.000352277857031535653,0.00106866083490051713,0.000250145778371298471,0.000428550999276883823,0.000225359512264822312
32,0.00020020632440136436,0.000957469464452608281,0.000258843392763666183,0.00031647649926614367,0.000199677420692716956
33,0.00021377867819092578,0.0010628307997927835,0.000307636283246749101,0.000352536496264893736,0.000340228415399117484
34,0.000230481233704974228,0.000929235970271252059,0.000242823048087197936,0.000461464747469287338,0.00021847603099480915
35,0.000269919226661989229,0.000951767998614897761,0.000376029170005042488,0.000511311453721009302,0.00038116987489791442
36,0.000271073108473651866,0.00120596797064463461,0.000311679154321741023,0.000510564529697285843,0.000283641843365065017
37,0.000255182063983813972,0.00103390817168015972,0.000321725334283489805,0.00039343594879657557,0.000221758853792586883
38,0.000216833899569439788,0.00114853042525742545,0.00038329644539286797,0.000364593085711341965,0.000232104201887038268
39,0.000219482855553405096,0.000891587568182120168,0.000272081388860393998,0.000400063263917552236,0.000190811643234416482
40,0.000247812758665918857,0.00104476104949925838,0.000333996357541476493,0.000521590209103444682,0.000247847071280369452
41,0.000245508738313161823,0.000962399622214357361,0.000297495087851429904,0.00032636157110969117,0.000259010258781481977
