m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
16,0.87771340467318526,0.872149887448281591,0.901010030087286196,0.999996334196392112,0.964995111676758777
17,0.844461626967730195,0.878280729419518291,0.870677886618417052,1.00000266577032271,0.949062730502770457
18,0.86816661038163756,0.871602447293183702,0.855121632795284081,1.00000097290169365,0.954827726718664671
19,0.878706200644313817,0.850701927727546381,0.868259980399369802,0.999990160993854516,0.941196135347392548
20,0.884218367260527827,0.880126354632951746,0.880414497329554013,0.999992005739333778,0.967781299324916855
21,0.872258226725666663,0.902088952613105843,0.881522724259851786,0.999981487415890991,0.950910696432113567
22,0.863800832826141063,0.912621850668761003,0.879396288241771296,0.999992968138196825,0.956984779981965961
23,0.876906947878229981,0.916575013532533234,0.888460045336049165,0.999975009173818319,0.947031047384627067
24,0.877938018173843093,0.918797755978236208,0.866992741604896144,0.999962655362916841,0.957425790042149449
25,0.894773999297078237,0.933459899103629032,0.904362036051687745,0.999945479783077018,0.964410615813936167
26,0.887618663012834763,0.928606735856450927,0.892647353766007567,0.999976115860730652,0.952011185741716615
27,0.907792912998778623,0.956520488716291584,0.897862311936006963,0.999967692655904572,0.956500638479243825
28,0.915965651992342811,0.950945881516273683,0.906435211735973301,0.999952144082022598,0.957354814738771487
29,0.888390669463175797,0.955331661647568997,0.902364005944417902,0.999975753172058557,0.956491601914498779
30,0.910081269174795704,0.965075226022002353,0.89209709020573158,0.999982014867495606,0.957374191377254657
31,0.897340928628843182,0.963534602188295897,0.904240446292278843,0.999972023549892453,0.963475864111173363
32,0.897500666185565898,0.969354724347111674,0.922680695420578845,0.999980683914502011,0.966739619986079046
33,0.902186730706432405,0.972748423029151099,0.903163145336399631,0.999979945099467638,0.96356376469116678
34,0.916427217945286476,0.97905078653310007,0.917296572085258388,0.999990009923555134,0.968023112479757586
35,0.919940158811407893,0.964910112689234545,0.914458815131475755,0.999986345655210163,0.963274484071065085
36,0.915109639432633015,0.977087573858342773,0.920034412069512086,0.999963012979710353,0.97734656975563583
37,0.921418642818089162,0.979254421471247971,0.922833745405339245,0.999976690305698912,0.970007326587962293
38,0.910141250369578159,0.981442147572828993,0.900519685626765209,0.999996337894752174,0.964536676031900408
39,0.931777370452487985,0.983217752138772716,0.930272873579015558,0.99997569285696386,0.969738912498742667
40,0.931336516330154796,0.982169276434046945,0.92997970870389679,0.999961707419470769,0.971839316421043597
41,0.916989101872185075,0.978637596131658682,0.920365633354345625,0.999984017370502465,0.968390093235706018
42,0.927926648674488264,0.98485823469161593,0.921291197653775762,0.999976029963012714,0.972294860939358463
43,0.924792425090516623,0.98221105438782419,0.926937560399606175,0.999980689958367308,0.976994286605762152
44,0.931267377021969822,0.987131947699345091,0.937432087291606875,0.999993673485552126,0.972279632957971818
45,0.924043594041268568,0.982162347630159971,0.942488282369602581,0.999985350024184871,0.975806957237270067
46,0.930359017972914204,0.988352213560259818,0.925968378055334052,0.999990680357316863,0.976820197473075913
47,0.941068843248665243,0.985650474806710974,0.940172322514957859,0.999986684692696026,0.971231111974410699
48,0.924822823317002718,0.987029673677111585,0.93799795376002526,0.999988348204131072,0.975032344596460265
49,0.935604644649236317,0.983216402278248802,0.940164765668501712,1.00000199906594167,0.977004664442114867
50,0.925637772269184533,0.984999329686679248,0.928489199042297986,0.999983024903410844,0.977313641624883656
51,0.924189586113693506,0.989318547730754561,0.914909713739840313,1.0000006655845739,0.974472317908806729
52,0.941948485358995447,0.987874501244050851,0.933820025496568507,0.999992009774334445,0.977853875665856798
53,0.940459764762196171,0.986702804704866154,0.935625085261397871,0.999984353118126057,0.978644778894137923
54,0.937479031277698827,0.987349753449324186,0.93255376168543358,0.999999334674207652,0.976226183166378769
55,0.933994950118737899,0.986831980360950212,0.94268608746338256,0.99999800231067304,0.971549183416119844
56,0.944253770553459715,0.98489053451833386,0.943940413816595658,0.999975034504923421,0.977704597315496082
57,0.939692285161963459,0.987798540107919898,0.93114533741860217,0.999994340413879357,0.978146206414159836
58,0.928917249160851055,0.98806689515233781,0.938304285156081885,0.999986355946569261,0.973036295407230467
59,0.947339121538083306,0.987962114932922186,0.949106990068692147,0.999980364986773562,0.981669029887692668
60,0.938893416215545895,0.987797459038974868,0.941157484730630212,0.999989350080507822,0.979211398495814955
61,0.944655089299695216,0.988291559334482539,0.949505919760425976,0.999981361742606434,0.983111675650067407
62,0.945284319004145668,0.989850296096947746,0.945763608831692304,0.999977698916260538,0.980565792752429943
63,0.947910274350565296,0.988280775718038407,0.960668540657204528,0.999987353959355119,0.978949040494256906
64,0.94237313786783361,0.989582220998695972,0.947651992533306453,0.999990346657879448,0.979110436492813818
65,0.939960596282846894,0.989939839524074827,0.95618622910463702,0.999982693132306477,0.976216007510402384
66,0.941010498038440613,0.989833084860502699,0.947964301529250597,0.999999667488420063,0.981902227946389483
67,0.947908225843872132,0.989251500674841133,0.961005616355029568,0.999974376872445059,0.984002183766319871
68,0.949781223416413245,0.987522152646345464,0.961848729730115704,0.9999893513796283,0.978590919120815528
69,0.950909306045601643,0.989258990814317785,0.959500944312085879,0.999982696694483919,0.977644182051718769
70,0.948054550098258786,0.990149057398022725,0.951867274697808075,0.999989019259265421,0.986229299664212355
71,0.949423285048977106,0.98956330123128966,0.951838711371574941,0.999994344176905248,0.977768872297809066
72,0.948957532560207206,0.988527388135109764,0.951681606052155793,0.999984693672203995,0.982231192897125016
73,0.949650654127239258,0.98869770018340819,0.957866894703711336,0.999981697377699263,0.986288154484383672
74,0.949268793588829318,0.988544959670250467,0.950791820337086979,0.999986356729553161,0.980959559908992862
75,0.948291602383894983,0.992978088922995217,0.958197026653941908,0.999986357922068803,0.983213217496254899
76,0.946613040062335709,0.987651387287765248,0.953644973638853921,0.999980697360691395,0.982978227980609298
77,0.951286007443363446,0.989270235169720791,0.962610612908799457,0.999994012633617868,0.983863329049725399
78,0.947638771875156882,0.988515334513128785,0.957401688974020781,0.999977371740596643,0.986092604925262406
79,0.94433242079952795,0.986345865952120371,0.968764074321454838,0.999988022620869055,0.981792029982600734
